Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",AUT,Shooting,0,0,0,2,2
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",BEL,Shooting,0,0,0,1,1
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",BOH,Shooting,0,0,0,1,1
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",CRT,Shooting,0,0,0,1,1
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",FRA,Shooting,0,0,1,5,6
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",GBR,Shooting,0,0,0,1,1
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",GRE,Shooting,0,0,0,9,9
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",HUN,Shooting,0,0,0,1,1
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",ITA,Shooting,0,0,0,9,9
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",NOR,Shooting,0,0,0,7,7
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",SUI,Shooting,1,1,0,3,5
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",SWE,Shooting,0,0,0,2,2
