Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1908,"Shooting Men's Running Target, Double Shot",FRA,Shooting,0,0,0,2,2
1908,"Shooting Men's Running Target, Double Shot",GBR,Shooting,0,1,0,9,10
1908,"Shooting Men's Running Target, Double Shot",SWE,Shooting,0,0,1,1,2
1908,"Shooting Men's Running Target, Double Shot",USA,Shooting,1,0,0,0,1
1912,"Shooting Men's Running Target, Double Shot",AUT,Shooting,0,0,0,1,1
1912,"Shooting Men's Running Target, Double Shot",FRA,Shooting,0,0,0,1,1
1912,"Shooting Men's Running Target, Double Shot",GER,Shooting,0,0,0,2,2
1912,"Shooting Men's Running Target, Double Shot",RUS,Shooting,0,0,0,2,2
1912,"Shooting Men's Running Target, Double Shot",SWE,Shooting,1,1,1,9,12
1912,"Shooting Men's Running Target, Double Shot",USA,Shooting,0,0,0,2,2
1920,"Shooting Men's Running Target, Double Shot",NOR,Shooting,1,0,1,0,2
1920,"Shooting Men's Running Target, Double Shot",SWE,Shooting,0,1,0,0,1
1920,"Shooting Men's Running Target, Double Shot",USA,Shooting,0,0,0,5,5
1924,"Shooting Men's Running Target, Double Shot",FIN,Shooting,0,0,0,4,4
1924,"Shooting Men's Running Target, Double Shot",FRA,Shooting,0,0,0,4,4
1924,"Shooting Men's Running Target, Double Shot",GBR,Shooting,0,1,0,3,4
1924,"Shooting Men's Running Target, Double Shot",HUN,Shooting,0,0,0,3,3
1924,"Shooting Men's Running Target, Double Shot",NOR,Shooting,1,0,0,3,4
1924,"Shooting Men's Running Target, Double Shot",SWE,Shooting,0,0,1,3,4
1924,"Shooting Men's Running Target, Double Shot",TCH,Shooting,0,0,0,4,4
1924,"Shooting Men's Running Target, Double Shot",USA,Shooting,0,0,0,4,4
