Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Shooting Men's Trap,BEL,Shooting,0,1,0,0,1
1900,Shooting Men's Trap,FRA,Shooting,1,0,1,25,27
1900,Shooting Men's Trap,GBR,Shooting,0,0,0,1,1
1900,Shooting Men's Trap,ROU,Shooting,0,0,0,1,1
1900,Shooting Men's Trap,SUI,Shooting,0,0,0,1,1
1908,Shooting Men's Trap,CAN,Shooting,1,1,0,5,7
1908,Shooting Men's Trap,FRA,Shooting,0,0,0,1,1
1908,Shooting Men's Trap,GBR,Shooting,0,0,1,11,12
1908,Shooting Men's Trap,GRE,Shooting,0,0,1,0,1
1908,Shooting Men's Trap,NED,Shooting,0,0,0,7,7
1908,Shooting Men's Trap,SWE,Shooting,0,0,0,3,3
1912,Shooting Men's Trap,CAN,Shooting,0,0,0,3,3
1912,Shooting Men's Trap,FIN,Shooting,0,0,0,6,6
1912,Shooting Men's Trap,FRA,Shooting,0,0,0,7,7
1912,Shooting Men's Trap,GBR,Shooting,0,0,0,9,9
1912,Shooting Men's Trap,GER,Shooting,0,1,0,6,7
1912,Shooting Men's Trap,GRE,Shooting,0,0,0,1,1
1912,Shooting Men's Trap,NED,Shooting,0,0,0,1,1
1912,Shooting Men's Trap,NOR,Shooting,0,0,0,3,3
1912,Shooting Men's Trap,RUS,Shooting,0,0,1,4,5
1912,Shooting Men's Trap,SWE,Shooting,0,0,0,12,12
1912,Shooting Men's Trap,USA,Shooting,1,0,0,6,7
1920,Shooting Men's Trap,BEL,Shooting,0,0,0,3,3
1920,Shooting Men's Trap,CAN,Shooting,0,0,0,5,5
1920,Shooting Men's Trap,FIN,Shooting,0,0,0,1,1
1920,Shooting Men's Trap,GBR,Shooting,0,0,0,2,2
1920,Shooting Men's Trap,NED,Shooting,0,0,0,1,1
1920,Shooting Men's Trap,NOR,Shooting,0,0,0,1,1
1920,Shooting Men's Trap,USA,Shooting,1,1,1,2,5
1924,Shooting Men's Trap,AUT,Shooting,0,0,0,4,4
1924,Shooting Men's Trap,BEL,Shooting,0,0,0,4,4
1924,Shooting Men's Trap,CAN,Shooting,0,0,0,3,3
1924,Shooting Men's Trap,DEN,Shooting,0,0,0,1,1
1924,Shooting Men's Trap,ESP,Shooting,0,0,0,1,1
1924,Shooting Men's Trap,FIN,Shooting,0,1,0,3,4
1924,Shooting Men's Trap,FRA,Shooting,0,0,0,2,2
1924,Shooting Men's Trap,GBR,Shooting,0,0,0,3,3
1924,Shooting Men's Trap,HUN,Shooting,1,0,0,3,4
1924,Shooting Men's Trap,ITA,Shooting,0,0,0,3,3
1924,Shooting Men's Trap,NOR,Shooting,0,0,0,4,4
1924,Shooting Men's Trap,SWE,Shooting,0,0,0,4,4
1924,Shooting Men's Trap,TCH,Shooting,0,0,0,3,3
1924,Shooting Men's Trap,USA,Shooting,0,0,1,3,4
1952,Shooting Men's Trap,ARG,Shooting,0,0,0,2,2
1952,Shooting Men's Trap,AUT,Shooting,0,0,0,1,1
1952,Shooting Men's Trap,BEL,Shooting,0,0,0,2,2
1952,Shooting Men's Trap,BUL,Shooting,0,0,0,2,2
1952,Shooting Men's Trap,CAN,Shooting,1,0,0,1,2
1952,Shooting Men's Trap,DEN,Shooting,0,0,0,1,1
