Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",FIN,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",GDR,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",GUA,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",HUN,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",MEX,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",MGL,Shooting,0,0,0,1,1
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",NOR,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",PHI,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",POL,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",ROU,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",SUI,Shooting,0,0,1,1,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",SWE,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",TCH,Shooting,0,0,0,2,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",TPE,Shooting,0,0,0,1,1
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",URS,Shooting,0,1,0,1,2
1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",USA,Shooting,1,0,0,1,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",CUB,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",DEN,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",FIN,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",FRG,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",GBR,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",GDR,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",HUN,Shooting,0,0,1,1,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",MEX,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",MGL,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",NOR,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",PAR,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",POL,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",PRK,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",ROU,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",SUI,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",SWE,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",TCH,Shooting,0,0,0,2,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",TPE,Shooting,0,0,0,1,1
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",URS,Shooting,0,1,0,1,2
1972,"Shooting Mixed Free Rifle, Three Positions, 300 metres",USA,Shooting,1,0,0,1,2
