Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,"Shooting Mixed Running Target, 50 metres",ARG,Shooting,0,0,0,1,1
1972,"Shooting Mixed Running Target, 50 metres",COL,Shooting,0,1,0,1,2
1972,"Shooting Mixed Running Target, 50 metres",FIN,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",FRA,Shooting,0,0,0,1,1
1972,"Shooting Mixed Running Target, 50 metres",FRG,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",GBR,Shooting,0,0,1,1,2
1972,"Shooting Mixed Running Target, 50 metres",HUN,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",ITA,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",NOR,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",NZL,Shooting,0,0,0,1,1
1972,"Shooting Mixed Running Target, 50 metres",POL,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",PRK,Shooting,0,0,0,1,1
1972,"Shooting Mixed Running Target, 50 metres",PUR,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",SWE,Shooting,0,0,0,2,2
1972,"Shooting Mixed Running Target, 50 metres",URS,Shooting,1,0,0,1,2
1972,"Shooting Mixed Running Target, 50 metres",USA,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",CAN,Shooting,0,0,0,1,1
1976,"Shooting Mixed Running Target, 50 metres",COL,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",FRG,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",GBR,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",GDR,Shooting,0,0,0,1,1
1976,"Shooting Mixed Running Target, 50 metres",GUA,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",HUN,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",ITA,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",NOR,Shooting,0,0,0,1,1
1976,"Shooting Mixed Running Target, 50 metres",NZL,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",POL,Shooting,0,0,1,1,2
1976,"Shooting Mixed Running Target, 50 metres",PRK,Shooting,0,0,0,1,1
1976,"Shooting Mixed Running Target, 50 metres",PUR,Shooting,0,0,0,1,1
1976,"Shooting Mixed Running Target, 50 metres",SWE,Shooting,0,0,0,2,2
1976,"Shooting Mixed Running Target, 50 metres",URS,Shooting,1,1,0,0,2
1976,"Shooting Mixed Running Target, 50 metres",USA,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",FIN,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",GDR,Shooting,0,1,0,1,2
1980,"Shooting Mixed Running Target, 50 metres",GUA,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",HUN,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",ITA,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",POL,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",PRK,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",SWE,Shooting,0,0,0,1,1
1980,"Shooting Mixed Running Target, 50 metres",TCH,Shooting,0,0,0,2,2
1980,"Shooting Mixed Running Target, 50 metres",URS,Shooting,1,0,1,0,2
