Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1968,Shooting Mixed Skeet,BEL,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,BUL,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,CAN,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,CHI,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,CRC,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,CUB,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,DEN,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,DOM,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,ESA,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,ESP,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,FIN,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,FRA,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,FRG,Shooting,0,0,1,1,2
1968,Shooting Mixed Skeet,GBR,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,GRE,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,IND,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,IRL,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,ITA,Shooting,0,1,0,1,2
1968,Shooting Mixed Skeet,LIB,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,MEX,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,MLT,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,PER,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,POL,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,PUR,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,ROU,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,SUI,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,SWE,Shooting,0,0,0,2,2
1968,Shooting Mixed Skeet,THA,Shooting,0,0,0,1,1
1968,Shooting Mixed Skeet,URS,Shooting,1,0,0,1,2
1968,Shooting Mixed Skeet,USA,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,ARG,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,BEL,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,BOL,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,BUL,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,CAN,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,CHI,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,COL,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,CUB,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,DEN,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,DOM,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,ESA,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,ESP,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,FIN,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,FRA,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,FRG,Shooting,1,0,0,1,2
1972,Shooting Mixed Skeet,GBR,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,GDR,Shooting,0,0,1,1,2
1972,Shooting Mixed Skeet,GRE,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,IND,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,IRL,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,ITA,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,KOR,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,LIB,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,MEX,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,MLT,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,NED,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,PHI,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,POL,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,POR,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,PUR,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,ROU,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,SWE,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,SWZ,Shooting,0,0,0,1,1
1972,Shooting Mixed Skeet,TUR,Shooting,0,0,0,2,2
1972,Shooting Mixed Skeet,URS,Shooting,0,1,0,1,2
1972,Shooting Mixed Skeet,USA,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,ARG,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,AUT,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,BEL,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,BRA,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,BUL,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,CAN,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,CHI,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,CUB,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,DEN,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,ESP,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,FIN,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,FRA,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,FRG,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,GBR,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,GDR,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,GRE,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,GUA,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,HKG,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,HUN,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,IND,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,IRI,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,ISV,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,ITA,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,JPN,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,KOR,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,MAS,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,MEX,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,NED,Shooting,0,1,0,0,1
1976,Shooting Mixed Skeet,NZL,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,POL,Shooting,0,0,1,1,2
1976,Shooting Mixed Skeet,PRK,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,PUR,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,ROU,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,SWE,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,TCH,Shooting,1,0,0,1,2
1976,Shooting Mixed Skeet,THA,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,TUR,Shooting,0,0,0,1,1
1976,Shooting Mixed Skeet,URS,Shooting,0,0,0,2,2
1976,Shooting Mixed Skeet,USA,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,AUT,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,BUL,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,CRC,Shooting,0,0,0,1,1
1980,Shooting Mixed Skeet,CUB,Shooting,0,0,1,1,2
1980,Shooting Mixed Skeet,DEN,Shooting,1,0,0,1,2
1980,Shooting Mixed Skeet,ESP,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,FIN,Shooting,0,0,0,1,1
1980,Shooting Mixed Skeet,GDR,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,GRE,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,GUA,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,HUN,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,IRL,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,ITA,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,MEX,Shooting,0,0,0,1,1
1980,Shooting Mixed Skeet,NED,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,PER,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,POL,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,PRK,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,ROU,Shooting,0,0,0,1,1
1980,Shooting Mixed Skeet,SWE,Shooting,0,1,0,1,2
1980,Shooting Mixed Skeet,SYR,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,TCH,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,URS,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,VEN,Shooting,0,0,0,2,2
1980,Shooting Mixed Skeet,ZIM,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,ARG,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,AUS,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,AUT,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,BEL,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,BOL,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,CAN,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,CHI,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,CHN,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,COL,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,CYP,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,DEN,Shooting,0,1,0,0,1
1984,Shooting Mixed Skeet,EGY,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,ESP,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,FIN,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,FRA,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,FRG,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,GBR,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,GRE,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,GUA,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,HKG,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,IND,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,IRL,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,ISV,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,ITA,Shooting,0,0,1,1,2
1984,Shooting Mixed Skeet,JOR,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,JPN,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,KOR,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,LIB,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,MEX,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,NED,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,NZL,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,PAR,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,PER,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,SWE,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,SYR,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,THA,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,TPE,Shooting,0,0,0,2,2
1984,Shooting Mixed Skeet,TUR,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,USA,Shooting,1,0,0,1,2
1984,Shooting Mixed Skeet,VEN,Shooting,0,0,0,1,1
1984,Shooting Mixed Skeet,ZIM,Shooting,0,0,0,1,1
1988,Shooting Mixed Skeet,ARG,Shooting,0,0,0,1,1
1988,Shooting Mixed Skeet,AUS,Shooting,0,0,0,1,1
1988,Shooting Mixed Skeet,AUT,Shooting,0,0,0,1,1
1988,Shooting Mixed Skeet,BEL,Shooting,0,0,0,1,1
1988,Shooting Mixed Skeet,CAN,Shooting,0,0,0,1,1
1988,Shooting Mixed Skeet,CHI,Shooting,0,1,0,0,1
