Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Park,AUS,Skateboarding,0,0,0,1,1
2020,Women's Park,BRA,Skateboarding,0,0,0,3,3
2020,Women's Park,CHI,Skateboarding,0,0,0,1,1
2020,Women's Park,CHN,Skateboarding,0,0,0,1,1
2020,Women's Park,ESP,Skateboarding,0,0,0,1,1
2020,Women's Park,FIN,Skateboarding,0,0,0,1,1
2020,Women's Park,FRA,Skateboarding,0,0,0,1,1
2020,Women's Park,GBR,Skateboarding,0,0,1,1,2
2020,Women's Park,GER,Skateboarding,0,0,0,1,1
2020,Women's Park,JPN,Skateboarding,1,1,0,1,3
2020,Women's Park,POL,Skateboarding,0,0,0,1,1
2020,Women's Park,RSA,Skateboarding,0,0,0,1,1
2020,Women's Park,USA,Skateboarding,0,0,0,3,3
2024,Women's Park,AUS,Skateboarding,1,0,0,1,2
2024,Women's Park,BRA,Skateboarding,0,0,0,3,3
2024,Women's Park,CAN,Skateboarding,0,0,0,1,1
2024,Women's Park,CHN,Skateboarding,0,0,0,1,1
2024,Women's Park,ESP,Skateboarding,0,0,0,2,2
2024,Women's Park,FIN,Skateboarding,0,0,0,1,1
2024,Women's Park,FRA,Skateboarding,0,0,0,2,2
2024,Women's Park,GBR,Skateboarding,0,0,1,1,2
2024,Women's Park,GER,Skateboarding,0,0,0,1,1
2024,Women's Park,JPN,Skateboarding,0,1,0,2,3
2024,Women's Park,MAR,Skateboarding,0,0,0,1,1
2024,Women's Park,USA,Skateboarding,0,0,0,3,3
