Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Street,AUS,Skateboarding,0,0,0,1,1
2020,Women's Street,AUT,Skateboarding,0,0,0,1,1
2020,Women's Street,BEL,Skateboarding,0,0,0,1,1
2020,Women's Street,BRA,Skateboarding,0,1,0,2,3
2020,Women's Street,CAN,Skateboarding,0,0,0,1,1
2020,Women's Street,CHN,Skateboarding,0,0,0,1,1
2020,Women's Street,ESP,Skateboarding,0,0,0,1,1
2020,Women's Street,FRA,Skateboarding,0,0,0,1,1
2020,Women's Street,ITA,Skateboarding,0,0,0,1,1
2020,Women's Street,JPN,Skateboarding,1,0,1,1,3
2020,Women's Street,NED,Skateboarding,0,0,0,2,2
2020,Women's Street,PHI,Skateboarding,0,0,0,1,1
2020,Women's Street,USA,Skateboarding,0,0,0,3,3
2024,Women's Street,AUS,Skateboarding,0,0,0,3,3
2024,Women's Street,BRA,Skateboarding,0,0,1,2,3
2024,Women's Street,CHN,Skateboarding,0,0,0,3,3
2024,Women's Street,ESP,Skateboarding,0,0,0,2,2
2024,Women's Street,FRA,Skateboarding,0,0,0,1,1
2024,Women's Street,JPN,Skateboarding,1,1,0,1,3
2024,Women's Street,NED,Skateboarding,0,0,0,2,2
2024,Women's Street,RSA,Skateboarding,0,0,0,1,1
2024,Women's Street,THA,Skateboarding,0,0,0,1,1
2024,Women's Street,USA,Skateboarding,0,0,0,3,3
