Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women,AUS,Surfing,0,0,0,2,2
2020,Women,BRA,Surfing,0,0,0,2,2
2020,Women,CRC,Surfing,0,0,0,2,2
2020,Women,ECU,Surfing,0,0,0,1,1
2020,Women,FRA,Surfing,0,0,0,2,2
2020,Women,ISR,Surfing,0,0,0,1,1
2020,Women,JPN,Surfing,0,0,1,1,2
2020,Women,NZL,Surfing,0,0,0,1,1
2020,Women,PER,Surfing,0,0,0,2,2
2020,Women,POR,Surfing,0,0,0,2,2
2020,Women,RSA,Surfing,0,1,0,0,1
2020,Women,USA,Surfing,1,0,0,1,2
2024,Women,AUS,Surfing,0,0,0,2,2
2024,Women,BRA,Surfing,0,1,0,2,3
2024,Women,CAN,Surfing,0,0,0,1,1
2024,Women,CHN,Surfing,0,0,0,1,1
2024,Women,CRC,Surfing,0,0,0,1,1
2024,Women,ESP,Surfing,0,0,0,2,2
2024,Women,FRA,Surfing,0,0,1,1,2
2024,Women,GER,Surfing,0,0,0,1,1
2024,Women,ISR,Surfing,0,0,0,1,1
2024,Women,JPN,Surfing,0,0,0,1,1
2024,Women,NCA,Surfing,0,0,0,1,1
2024,Women,NZL,Surfing,0,0,0,1,1
2024,Women,PER,Surfing,0,0,0,1,1
2024,Women,POR,Surfing,0,0,0,2,2
2024,Women,RSA,Surfing,0,0,0,1,1
2024,Women,USA,Surfing,1,0,0,2,3
