Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's 100m Backstroke,AUS,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,AUT,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,BLR,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,BOL,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,BRA,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,BUL,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,CAN,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,CHN,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,CZE,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,ESP,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,FRA,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,GBR,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,GER,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,GRE,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,HUN,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,IND,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,ISR,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,ITA,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,JPN,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,KOR,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,MAD,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,POL,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,POR,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,ROC,Swimming,1,1,0,0,2
2020,Men's 100m Backstroke,ROU,Swimming,0,0,0,2,2
2020,Men's 100m Backstroke,RSA,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,SGP,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,TKM,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,TTO,Swimming,0,0,0,1,1
2020,Men's 100m Backstroke,USA,Swimming,0,0,1,1,2
2024,Men's 100m Backstroke,ARG,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,AUS,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,AUT,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,BEN,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,BER,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,BRU,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,CAN,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,CHN,Swimming,0,1,0,0,1
2024,Men's 100m Backstroke,COL,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,CZE,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,ESP,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,FRA,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,GBR,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,GEO,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,GER,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,GRE,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,GRN,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,HUN,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,IND,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,ISR,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,ISV,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,ITA,Swimming,1,0,0,1,2
2024,Men's 100m Backstroke,JPN,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,KOR,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,NED,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,NZL,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,PLE,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,POL,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,POR,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,PUR,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,RSA,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,SUI,Swimming,0,0,0,2,2
2024,Men's 100m Backstroke,TGA,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,TUR,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,UKR,Swimming,0,0,0,1,1
2024,Men's 100m Backstroke,USA,Swimming,0,0,1,1,2
