Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's 4 x 100m Medley Relay Team,AUS,Swimming,0,0,0,5,5
2020,Men's 4 x 100m Medley Relay Team,BLR,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,BRA,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,CAN,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,CHN,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,FRA,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,GBR,Swimming,0,5,0,0,5
2020,Men's 4 x 100m Medley Relay Team,GER,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,GRE,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,HUN,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,ITA,Swimming,0,0,4,0,4
2020,Men's 4 x 100m Medley Relay Team,JPN,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,LTU,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,POL,Swimming,0,0,0,4,4
2020,Men's 4 x 100m Medley Relay Team,ROC,Swimming,0,0,0,8,8
2020,Men's 4 x 100m Medley Relay Team,USA,Swimming,8,0,0,0,8
