Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's 800m Freestyle,AUS,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,AUT,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,BRA,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,CHN,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,CZE,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,DEN,Swimming,0,0,0,2,2
2020,Men's 800m Freestyle,EGY,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,ESA,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,FRA,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,GBR,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,GER,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,GRE,Swimming,0,0,0,2,2
2020,Men's 800m Freestyle,HUN,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,IRL,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,ITA,Swimming,0,1,0,1,2
2020,Men's 800m Freestyle,NOR,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,NZL,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,POR,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,ROC,Swimming,0,0,0,2,2
2020,Men's 800m Freestyle,SLO,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,SRB,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,SWE,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,TUN,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,TUR,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,UKR,Swimming,0,0,1,1,2
2020,Men's 800m Freestyle,USA,Swimming,1,0,0,1,2
2020,Men's 800m Freestyle,VEN,Swimming,0,0,0,1,1
2020,Men's 800m Freestyle,VIE,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,AUS,Swimming,0,0,0,2,2
2024,Men's 800m Freestyle,BEL,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,CHN,Swimming,0,0,0,2,2
2024,Men's 800m Freestyle,EGY,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,FRA,Swimming,0,0,0,2,2
2024,Men's 800m Freestyle,GER,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,GRE,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,HUN,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,ITA,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,MON,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,NOR,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,ROU,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,UKR,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,USA,Swimming,0,1,0,1,2
2024,Men's 800m Freestyle,UZB,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,VEN,Swimming,0,0,0,1,1
2024,Men's 800m Freestyle,VIE,Swimming,0,0,0,1,1
