Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Swimming Men's 200 metres Backstroke,AUT,Swimming,0,1,0,0,1
1900,Swimming Men's 200 metres Backstroke,FRA,Swimming,0,0,0,8,8
1900,Swimming Men's 200 metres Backstroke,GBR,Swimming,0,0,0,2,2
1900,Swimming Men's 200 metres Backstroke,GER,Swimming,1,0,0,0,1
1900,Swimming Men's 200 metres Backstroke,ITA,Swimming,0,0,0,1,1
1900,Swimming Men's 200 metres Backstroke,NED,Swimming,0,0,1,1,2
1900,Swimming Men's 200 metres Backstroke,SWE,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,ARG,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,AUS,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,AUT,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,BEL,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,CAN,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,DEN,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,ESP,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,FRA,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,GBR,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,GER,Swimming,0,0,0,3,3
1964,Swimming Men's 200 metres Backstroke,HKG,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,HUN,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,ITA,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,JPN,Swimming,0,0,0,3,3
1964,Swimming Men's 200 metres Backstroke,MAS,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,NED,Swimming,0,0,0,2,2
1964,Swimming Men's 200 metres Backstroke,PER,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,PUR,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,TCH,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,URS,Swimming,0,0,0,1,1
1964,Swimming Men's 200 metres Backstroke,USA,Swimming,1,1,1,0,3
1968,Swimming Men's 200 metres Backstroke,ARG,Swimming,0,0,0,1,1
1968,Swimming Men's 200 metres Backstroke,AUS,Swimming,0,0,0,1,1
1968,Swimming Men's 200 metres Backstroke,CAN,Swimming,0,0,0,1,1
1968,Swimming Men's 200 metres Backstroke,CUB,Swimming,0,0,0,1,1
1968,Swimming Men's 200 metres Backstroke,DEN,Swimming,0,0,0,2,2
1968,Swimming Men's 200 metres Backstroke,ESP,Swimming,0,0,0,2,2
1968,Swimming Men's 200 metres Backstroke,FRG,Swimming,0,0,0,1,1
1968,Swimming Men's 200 metres Backstroke,GDR,Swimming,1,0,0,1,2
1968,Swimming Men's 200 metres Backstroke,GUA,Swimming,0,0,0,1,1
1968,Swimming Men's 200 metres Backstroke,HKG,Swimming,0,0,0,1,1
