Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1956,Swimming Women's 100 metres Butterfly,AUS,Swimming,0,0,0,2,2
1956,Swimming Women's 100 metres Butterfly,CAN,Swimming,0,0,0,2,2
1956,Swimming Women's 100 metres Butterfly,FRA,Swimming,0,0,0,1,1
1956,Swimming Women's 100 metres Butterfly,GBR,Swimming,0,0,0,1,1
1956,Swimming Women's 100 metres Butterfly,GER,Swimming,0,0,0,1,1
1956,Swimming Women's 100 metres Butterfly,HUN,Swimming,0,0,0,1,1
1956,Swimming Women's 100 metres Butterfly,TCH,Swimming,0,0,0,1,1
1956,Swimming Women's 100 metres Butterfly,USA,Swimming,1,1,1,0,3
1960,Swimming Women's 100 metres Butterfly,AUS,Swimming,0,0,1,0,1
1960,Swimming Women's 100 metres Butterfly,AUT,Swimming,0,0,0,1,1
1960,Swimming Women's 100 metres Butterfly,CAN,Swimming,0,0,0,1,1
1960,Swimming Women's 100 metres Butterfly,FRA,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,GBR,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,GER,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,HUN,Swimming,0,0,0,1,1
1960,Swimming Women's 100 metres Butterfly,ITA,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,JPN,Swimming,0,0,0,1,1
1960,Swimming Women's 100 metres Butterfly,MEX,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,NED,Swimming,0,1,0,1,2
1960,Swimming Women's 100 metres Butterfly,PHI,Swimming,0,0,0,1,1
1960,Swimming Women's 100 metres Butterfly,SWE,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,URS,Swimming,0,0,0,2,2
1960,Swimming Women's 100 metres Butterfly,USA,Swimming,1,0,0,1,2
1960,Swimming Women's 100 metres Butterfly,ZIM,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,AUS,Swimming,0,0,0,3,3
1964,Swimming Women's 100 metres Butterfly,CAN,Swimming,0,0,0,3,3
1964,Swimming Women's 100 metres Butterfly,ESP,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,FIN,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,GBR,Swimming,0,0,0,3,3
1964,Swimming Women's 100 metres Butterfly,GER,Swimming,0,0,0,3,3
1964,Swimming Women's 100 metres Butterfly,HUN,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,ITA,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,JPN,Swimming,0,0,0,3,3
1964,Swimming Women's 100 metres Butterfly,MAS,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,MEX,Swimming,0,0,0,1,1
1964,Swimming Women's 100 metres Butterfly,NED,Swimming,0,1,0,1,2
1964,Swimming Women's 100 metres Butterfly,PUR,Swimming,0,0,0,2,2
1964,Swimming Women's 100 metres Butterfly,URS,Swimming,0,0,0,2,2
1964,Swimming Women's 100 metres Butterfly,USA,Swimming,1,0,1,1,3
1964,Swimming Women's 100 metres Butterfly,ZIM,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,ARG,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,AUS,Swimming,1,0,0,1,2
1968,Swimming Women's 100 metres Butterfly,CAN,Swimming,0,0,0,2,2
1968,Swimming Women's 100 metres Butterfly,COL,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,FRA,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,FRG,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,GBR,Swimming,0,0,0,2,2
1968,Swimming Women's 100 metres Butterfly,GDR,Swimming,0,0,0,2,2
1968,Swimming Women's 100 metres Butterfly,HUN,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,IRL,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,ISR,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,JPN,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,KOR,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,MEX,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,NED,Swimming,0,0,0,2,2
1968,Swimming Women's 100 metres Butterfly,NZL,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,PUR,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,TPE,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,URS,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,URU,Swimming,0,0,0,1,1
1968,Swimming Women's 100 metres Butterfly,USA,Swimming,0,1,1,1,3
1972,Swimming Women's 100 metres Butterfly,AUS,Swimming,0,0,0,1,1
1972,Swimming Women's 100 metres Butterfly,CAN,Swimming,0,0,0,3,3
1972,Swimming Women's 100 metres Butterfly,ESP,Swimming,0,0,0,1,1
