Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1968,Swimming Women's 200 metres Backstroke,ARG,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Backstroke,AUS,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,AUT,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,BEL,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,CAN,Swimming,0,1,0,2,3
1968,Swimming Women's 200 metres Backstroke,ESA,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Backstroke,ESP,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,FIN,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,FRA,Swimming,0,0,0,3,3
1968,Swimming Women's 200 metres Backstroke,FRG,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,GBR,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Backstroke,GDR,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,NED,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Backstroke,NZL,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,ROU,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,URS,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Backstroke,URU,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Backstroke,USA,Swimming,1,0,1,1,3
1968,Swimming Women's 200 metres Backstroke,YUG,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,ARG,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,AUS,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Backstroke,CAN,Swimming,0,0,1,2,3
1972,Swimming Women's 200 metres Backstroke,FRA,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,FRG,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Backstroke,GBR,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Backstroke,GDR,Swimming,0,0,0,2,2
1972,Swimming Women's 200 metres Backstroke,HUN,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,IRL,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,JPN,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Backstroke,MAS,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,MEX,Swimming,0,0,0,2,2
1972,Swimming Women's 200 metres Backstroke,NED,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Backstroke,NZL,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,SGP,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,SUI,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,URS,Swimming,0,0,0,2,2
1972,Swimming Women's 200 metres Backstroke,URU,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Backstroke,USA,Swimming,1,1,0,1,3
1972,Swimming Women's 200 metres Backstroke,YUG,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,ARG,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,AUS,Swimming,0,0,0,2,2
1976,Swimming Women's 200 metres Backstroke,CAN,Swimming,0,0,1,2,3
1976,Swimming Women's 200 metres Backstroke,COL,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,ESP,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,FRG,Swimming,0,0,0,3,3
1976,Swimming Women's 200 metres Backstroke,GBR,Swimming,0,0,0,3,3
1976,Swimming Women's 200 metres Backstroke,GDR,Swimming,1,1,0,1,3
1976,Swimming Women's 200 metres Backstroke,HUN,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,ITA,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,JPN,Swimming,0,0,0,2,2
1976,Swimming Women's 200 metres Backstroke,NED,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,NZL,Swimming,0,0,0,2,2
1976,Swimming Women's 200 metres Backstroke,THA,Swimming,0,0,0,1,1
1976,Swimming Women's 200 metres Backstroke,URS,Swimming,0,0,0,2,2
1976,Swimming Women's 200 metres Backstroke,USA,Swimming,0,0,0,3,3
1976,Swimming Women's 200 metres Backstroke,VEN,Swimming,0,0,0,1,1
1980,Swimming Women's 200 metres Backstroke,AUS,Swimming,0,0,0,2,2
1980,Swimming Women's 200 metres Backstroke,BEL,Swimming,0,0,0,2,2
1980,Swimming Women's 200 metres Backstroke,FRA,Swimming,0,0,0,1,1
1980,Swimming Women's 200 metres Backstroke,GBR,Swimming,0,0,0,2,2
1980,Swimming Women's 200 metres Backstroke,GDR,Swimming,1,1,1,0,3
1980,Swimming Women's 200 metres Backstroke,HUN,Swimming,0,0,0,1,1
1980,Swimming Women's 200 metres Backstroke,ITA,Swimming,0,0,0,1,1
1980,Swimming Women's 200 metres Backstroke,MEX,Swimming,0,0,0,1,1
1980,Swimming Women's 200 metres Backstroke,NED,Swimming,0,0,0,2,2
1980,Swimming Women's 200 metres Backstroke,POL,Swimming,0,0,0,2,2
1980,Swimming Women's 200 metres Backstroke,ROU,Swimming,0,0,0,1,1
1980,Swimming Women's 200 metres Backstroke,URS,Swimming,0,0,0,2,2
1980,Swimming Women's 200 metres Backstroke,VIE,Swimming,0,0,0,1,1
1984,Swimming Women's 200 metres Backstroke,AUS,Swimming,0,0,0,2,2
1984,Swimming Women's 200 metres Backstroke,BEL,Swimming,0,0,0,2,2
1984,Swimming Women's 200 metres Backstroke,CAN,Swimming,0,0,0,2,2
1984,Swimming Women's 200 metres Backstroke,CHN,Swimming,0,0,0,1,1
1984,Swimming Women's 200 metres Backstroke,FRG,Swimming,0,0,0,2,2
1984,Swimming Women's 200 metres Backstroke,GBR,Swimming,0,0,0,2,2
1984,Swimming Women's 200 metres Backstroke,HKG,Swimming,0,0,0,1,1
