Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1968,Swimming Women's 200 metres Individual Medley,AUS,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,BEL,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,BUL,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,COL,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,DEN,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,ESA,Swimming,0,0,0,3,3
1968,Swimming Women's 200 metres Individual Medley,ESP,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,FIN,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,FRA,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,FRG,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,GBR,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,GDR,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,HUN,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,ISL,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,ISR,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,JPN,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,MEX,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,NED,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,NZL,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,PER,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,PHI,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,PUR,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,TPE,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,URS,Swimming,0,0,0,1,1
1968,Swimming Women's 200 metres Individual Medley,URU,Swimming,0,0,0,2,2
1968,Swimming Women's 200 metres Individual Medley,USA,Swimming,1,1,1,0,3
1972,Swimming Women's 200 metres Individual Medley,ARG,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Individual Medley,AUS,Swimming,1,0,0,2,3
1972,Swimming Women's 200 metres Individual Medley,BRA,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Individual Medley,CAN,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Individual Medley,COL,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Individual Medley,DEN,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Individual Medley,FIN,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Individual Medley,FRG,Swimming,0,0,0,2,2
1972,Swimming Women's 200 metres Individual Medley,GBR,Swimming,0,0,0,3,3
1972,Swimming Women's 200 metres Individual Medley,GDR,Swimming,0,1,0,2,3
1972,Swimming Women's 200 metres Individual Medley,GRE,Swimming,0,0,0,1,1
1972,Swimming Women's 200 metres Individual Medley,HUN,Swimming,0,0,0,3,3
