Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,Swimming Women's 4 x 100 metres Freestyle Relay,AUT,Swimming,0,0,4,0,4
1912,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,4,0,0,0,4
1912,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,4,0,0,4
1912,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1920,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,4,0,0,4
1920,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,4,0,4
1920,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,4,0,0,0,4
1924,Swimming Women's 4 x 100 metres Freestyle Relay,DEN,Swimming,0,0,0,4,4
1924,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,4,4
1924,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,4,0,0,4
1924,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,0,4,4
1924,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,4,0,4
1924,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,4,0,0,0,4
1928,Swimming Women's 4 x 100 metres Freestyle Relay,DEN,Swimming,0,0,0,4,4
1928,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,5,5
1928,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,4,0,0,4
1928,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,0,0,4,4
1928,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,0,4,4
1928,Swimming Women's 4 x 100 metres Freestyle Relay,RSA,Swimming,0,0,4,0,4
1928,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,6,0,0,0,6
1932,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1932,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,4,0,4
1932,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1932,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,4,0,0,4
1932,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,4,0,0,0,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,AUT,Swimming,0,0,0,4,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,DEN,Swimming,0,0,0,4,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,5,0,0,5
1936,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,4,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,4,0,0,0,4
1936,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,0,0,5,0,5
1948,Swimming Women's 4 x 100 metres Freestyle Relay,ARG,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,BEL,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,BRA,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,DEN,Swimming,0,5,0,0,5
1948,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,5,5
1948,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,4,0,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1948,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,4,0,0,0,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,BEL,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,DEN,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,FIN,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,5,0,0,0,5
1952,Swimming Women's 4 x 100 metres Freestyle Relay,ITA,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,4,0,0,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1952,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,0,0,4,0,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,Swimming,6,0,0,0,6
1956,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,RSA,Swimming,0,0,4,0,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1956,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,0,7,0,0,7
1960,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,Swimming,0,6,0,0,6
1960,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,0,4,0,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,ITA,Swimming,0,0,0,5,5
1960,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,MEX,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,URS,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,8,0,0,0,8
1964,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,Swimming,0,5,0,0,5
1964,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,GER,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,5,5
1964,Swimming Women's 4 x 100 metres Freestyle Relay,ITA,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,4,0,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,8,0,0,0,8
1968,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,Swimming,0,0,0,5,5
1968,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,4,0,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,ESA,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,FRG,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,GDR,Swimming,0,5,0,0,5
1968,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,5,5
1968,Swimming Women's 4 x 100 metres Freestyle Relay,MEX,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,URS,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,URU,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,4,0,0,0,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,Swimming,0,0,0,5,5
1972,Swimming Women's 4 x 100 metres Freestyle Relay,CAN,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,FRA,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,FRG,Swimming,0,0,4,0,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,GDR,Swimming,0,5,0,0,5
1972,Swimming Women's 4 x 100 metres Freestyle Relay,HUN,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,IRL,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,ITA,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,MEX,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,NED,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,SUI,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,SWE,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,URS,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Swimming,7,0,0,0,7
1976,Swimming Women's 4 x 100 metres Freestyle Relay,ARG,Swimming,0,0,0,4,4
