Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1960,Swimming Women's 4 x 100 metres Medley Relay,AUS,Swimming,0,6,0,0,6
1960,Swimming Women's 4 x 100 metres Medley Relay,CAN,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Medley Relay,FRA,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Medley Relay,GBR,Swimming,0,0,0,5,5
1960,Swimming Women's 4 x 100 metres Medley Relay,GER,Swimming,0,0,4,0,4
1960,Swimming Women's 4 x 100 metres Medley Relay,HUN,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Medley Relay,ITA,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Medley Relay,JPN,Swimming,0,0,0,4,4
1960,Swimming Women's 4 x 100 metres Medley Relay,NED,Swimming,0,0,0,5,5
1960,Swimming Women's 4 x 100 metres Medley Relay,URS,Swimming,0,0,0,5,5
1960,Swimming Women's 4 x 100 metres Medley Relay,USA,Swimming,7,0,0,0,7
1960,Swimming Women's 4 x 100 metres Medley Relay,ZIM,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Medley Relay,AUS,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Medley Relay,CAN,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Medley Relay,GBR,Swimming,0,0,0,5,5
1964,Swimming Women's 4 x 100 metres Medley Relay,GER,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Medley Relay,HUN,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Medley Relay,JPN,Swimming,0,0,0,4,4
1964,Swimming Women's 4 x 100 metres Medley Relay,NED,Swimming,0,5,0,0,5
1964,Swimming Women's 4 x 100 metres Medley Relay,URS,Swimming,0,0,5,0,5
1964,Swimming Women's 4 x 100 metres Medley Relay,USA,Swimming,8,0,0,0,8
1968,Swimming Women's 4 x 100 metres Medley Relay,AUS,Swimming,0,5,0,0,5
1968,Swimming Women's 4 x 100 metres Medley Relay,CAN,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,ESA,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,FRG,Swimming,0,0,4,0,4
1968,Swimming Women's 4 x 100 metres Medley Relay,GBR,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,GDR,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,HUN,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,JPN,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,MEX,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,NED,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,NZL,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,PUR,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,URS,Swimming,0,0,0,5,5
1968,Swimming Women's 4 x 100 metres Medley Relay,URU,Swimming,0,0,0,4,4
1968,Swimming Women's 4 x 100 metres Medley Relay,USA,Swimming,8,0,0,0,8
1968,Swimming Women's 4 x 100 metres Medley Relay,YUG,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,AUS,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,CAN,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,FRA,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,FRG,Swimming,0,0,7,0,7
1972,Swimming Women's 4 x 100 metres Medley Relay,GBR,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,GDR,Swimming,0,5,0,0,5
1972,Swimming Women's 4 x 100 metres Medley Relay,HUN,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,IRL,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,ITA,Swimming,0,0,0,4,4
1972,Swimming Women's 4 x 100 metres Medley Relay,JPN,Swimming,0,0,0,4,4
