Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 1500m Freestyle,ARG,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,AUS,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,AUT,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,BRA,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,CAN,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,CHI,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,CHN,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,DEN,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,ESP,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,GER,Swimming,0,0,1,1,2
2020,Women's 1500m Freestyle,HUN,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,ITA,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,KOR,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,LIE,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,MLT,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,NZL,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,POR,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,ROC,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,SLO,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,SMR,Swimming,0,0,0,1,1
2020,Women's 1500m Freestyle,TUR,Swimming,0,0,0,2,2
2020,Women's 1500m Freestyle,USA,Swimming,1,1,0,0,2
2024,Women's 1500m Freestyle,AUS,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,BRA,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,CHI,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,CHN,Swimming,0,0,0,2,2
2024,Women's 1500m Freestyle,FRA,Swimming,0,1,0,0,1
2024,Women's 1500m Freestyle,GER,Swimming,0,0,1,0,1
2024,Women's 1500m Freestyle,HUN,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,ITA,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,MLT,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,NZL,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,SGP,Swimming,0,0,0,1,1
2024,Women's 1500m Freestyle,USA,Swimming,1,0,0,0,1
