Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 200m Butterfly,AUS,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,CHN,Swimming,1,0,0,1,2
2020,Women's 200m Butterfly,DEN,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,GBR,Swimming,0,0,0,2,2
2020,Women's 200m Butterfly,GER,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,HON,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,HUN,Swimming,0,0,0,2,2
2020,Women's 200m Butterfly,JPN,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,PHI,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,POR,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,ROC,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,TUR,Swimming,0,0,0,1,1
2020,Women's 200m Butterfly,USA,Swimming,0,1,1,0,2
2024,Women's 200m Butterfly,ANG,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,AUS,Swimming,0,0,0,2,2
2024,Women's 200m Butterfly,BIH,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,CAN,Swimming,1,0,0,0,1
2024,Women's 200m Butterfly,CHN,Swimming,0,0,1,1,2
2024,Women's 200m Butterfly,CRC,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,DEN,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,ESP,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,GBR,Swimming,0,0,0,2,2
2024,Women's 200m Butterfly,GRE,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,HUN,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,JPN,Swimming,0,0,0,2,2
2024,Women's 200m Butterfly,SRB,Swimming,0,0,0,1,1
2024,Women's 200m Butterfly,USA,Swimming,0,1,0,1,2
