Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 4 x 200m Freestyle Relay Team,AUS,Swimming,0,0,8,0,8
2020,Women's 4 x 200m Freestyle Relay Team,BRA,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,CAN,Swimming,0,0,0,7,7
2020,Women's 4 x 200m Freestyle Relay Team,CHN,Swimming,6,0,0,0,6
2020,Women's 4 x 200m Freestyle Relay Team,FRA,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,GER,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,HUN,Swimming,0,0,0,5,5
2020,Women's 4 x 200m Freestyle Relay Team,ITA,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,JPN,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,KOR,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,NZL,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,ROC,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,RSA,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,TUR,Swimming,0,0,0,4,4
2020,Women's 4 x 200m Freestyle Relay Team,USA,Swimming,0,6,0,0,6
