Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 400m Individual Medley,ARG,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,CAN,Swimming,0,0,0,2,2
2020,Women's 400m Individual Medley,CHN,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,ESP,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,FRA,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,GBR,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,HUN,Swimming,0,0,0,2,2
2020,Women's 400m Individual Medley,INA,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,ITA,Swimming,0,0,0,2,2
2020,Women's 400m Individual Medley,JPN,Swimming,1,0,0,1,2
2020,Women's 400m Individual Medley,SLO,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,SRB,Swimming,0,0,0,1,1
2020,Women's 400m Individual Medley,USA,Swimming,0,1,1,0,2
2024,Women's 400m Individual Medley,AUS,Swimming,0,0,0,2,2
2024,Women's 400m Individual Medley,CAN,Swimming,1,0,0,1,2
2024,Women's 400m Individual Medley,ESP,Swimming,0,0,0,1,1
2024,Women's 400m Individual Medley,GBR,Swimming,0,0,0,2,2
2024,Women's 400m Individual Medley,HUN,Swimming,0,0,0,1,1
2024,Women's 400m Individual Medley,IRL,Swimming,0,0,0,1,1
2024,Women's 400m Individual Medley,ISR,Swimming,0,0,0,1,1
2024,Women's 400m Individual Medley,ITA,Swimming,0,0,0,1,1
2024,Women's 400m Individual Medley,JPN,Swimming,0,0,0,2,2
2024,Women's 400m Individual Medley,SRB,Swimming,0,0,0,1,1
2024,Women's 400m Individual Medley,USA,Swimming,0,0,1,0,1
