Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1996,Synchronized Swimming Women's Team,CAN,Synchronized Swimming,0,9,0,0,9
1996,Synchronized Swimming Women's Team,CHN,Synchronized Swimming,0,0,0,8,8
1996,Synchronized Swimming Women's Team,FRA,Synchronized Swimming,0,0,0,8,8
1996,Synchronized Swimming Women's Team,ITA,Synchronized Swimming,0,0,0,10,10
1996,Synchronized Swimming Women's Team,JPN,Synchronized Swimming,0,0,9,0,9
1996,Synchronized Swimming Women's Team,MEX,Synchronized Swimming,0,0,0,9,9
1996,Synchronized Swimming Women's Team,RUS,Synchronized Swimming,0,0,0,9,9
1996,Synchronized Swimming Women's Team,USA,Synchronized Swimming,10,0,0,0,10
2000,Synchronized Swimming Women's Team,AUS,Synchronized Swimming,0,0,0,9,9
2000,Synchronized Swimming Women's Team,CAN,Synchronized Swimming,0,0,8,0,8
2000,Synchronized Swimming Women's Team,CHN,Synchronized Swimming,0,0,0,9,9
2000,Synchronized Swimming Women's Team,FRA,Synchronized Swimming,0,0,0,8,8
2000,Synchronized Swimming Women's Team,ITA,Synchronized Swimming,0,0,0,9,9
2000,Synchronized Swimming Women's Team,JPN,Synchronized Swimming,0,9,0,0,9
2000,Synchronized Swimming Women's Team,RUS,Synchronized Swimming,8,0,0,0,8
2000,Synchronized Swimming Women's Team,USA,Synchronized Swimming,0,0,0,9,9
2004,Synchronized Swimming Women's Team,CAN,Synchronized Swimming,0,0,0,8,8
2004,Synchronized Swimming Women's Team,CHN,Synchronized Swimming,0,0,0,8,8
2004,Synchronized Swimming Women's Team,ESP,Synchronized Swimming,0,0,0,8,8
2004,Synchronized Swimming Women's Team,GRE,Synchronized Swimming,0,0,0,9,9
2004,Synchronized Swimming Women's Team,ITA,Synchronized Swimming,0,0,0,9,9
2004,Synchronized Swimming Women's Team,JPN,Synchronized Swimming,0,9,0,0,9
2004,Synchronized Swimming Women's Team,RUS,Synchronized Swimming,9,0,0,0,9
2004,Synchronized Swimming Women's Team,USA,Synchronized Swimming,0,0,9,0,9
2008,Synchronized Swimming Women's Team,AUS,Synchronized Swimming,0,0,0,9,9
2008,Synchronized Swimming Women's Team,CAN,Synchronized Swimming,0,0,0,8,8
2008,Synchronized Swimming Women's Team,CHN,Synchronized Swimming,0,0,9,0,9
2008,Synchronized Swimming Women's Team,EGY,Synchronized Swimming,0,0,0,8,8
2008,Synchronized Swimming Women's Team,ESP,Synchronized Swimming,0,8,0,0,8
2008,Synchronized Swimming Women's Team,JPN,Synchronized Swimming,0,0,0,9,9
2008,Synchronized Swimming Women's Team,RUS,Synchronized Swimming,9,0,0,0,9
2008,Synchronized Swimming Women's Team,USA,Synchronized Swimming,0,0,0,9,9
2012,Synchronized Swimming Women's Team,AUS,Synchronized Swimming,0,0,0,8,8
2012,Synchronized Swimming Women's Team,CAN,Synchronized Swimming,0,0,0,9,9
2012,Synchronized Swimming Women's Team,CHN,Synchronized Swimming,0,9,0,0,9
2012,Synchronized Swimming Women's Team,EGY,Synchronized Swimming,0,0,0,8,8
2012,Synchronized Swimming Women's Team,ESP,Synchronized Swimming,0,0,8,0,8
2012,Synchronized Swimming Women's Team,GBR,Synchronized Swimming,0,0,0,9,9
2012,Synchronized Swimming Women's Team,JPN,Synchronized Swimming,0,0,0,9,9
2012,Synchronized Swimming Women's Team,RUS,Synchronized Swimming,9,0,0,0,9
2016,Synchronized Swimming Women's Team,AUS,Synchronized Swimming,0,0,0,9,9
2016,Synchronized Swimming Women's Team,BRA,Synchronized Swimming,0,0,0,9,9
2016,Synchronized Swimming Women's Team,CHN,Synchronized Swimming,0,9,0,0,9
2016,Synchronized Swimming Women's Team,EGY,Synchronized Swimming,0,0,0,9,9
2016,Synchronized Swimming Women's Team,ITA,Synchronized Swimming,0,0,0,9,9
2016,Synchronized Swimming Women's Team,JPN,Synchronized Swimming,0,0,8,0,8
2016,Synchronized Swimming Women's Team,RUS,Synchronized Swimming,9,0,0,0,9
2016,Synchronized Swimming Women's Team,UKR,Synchronized Swimming,0,0,0,8,8
