Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Mixed Doubles Team,AUS,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,AUT,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,CAN,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,CHN,Table Tennis,0,2,0,0,2
2020,Mixed Doubles Team,CUB,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,EGY,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,FRA,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,GER,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,HKG,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,HUN,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,IND,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,JPN,Table Tennis,2,0,0,0,2
2020,Mixed Doubles Team,KOR,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,ROU,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,SVK,Table Tennis,0,0,0,2,2
2020,Mixed Doubles Team,TPE,Table Tennis,0,0,2,0,2
