Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1988,Table Tennis Men's Doubles,AUT,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,BRA,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,CAN,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,CHI,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,CHN,Table Tennis,2,0,0,2,4
1988,Table Tennis Men's Doubles,DOM,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,FRA,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,FRG,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,GBR,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,HKG,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,HUN,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,IND,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,JPN,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,KOR,Table Tennis,0,0,2,2,4
1988,Table Tennis Men's Doubles,MRI,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,NGR,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,NZL,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,POL,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,SWE,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,TPE,Table Tennis,0,0,0,4,4
1988,Table Tennis Men's Doubles,TUN,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,URS,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Doubles,YUG,Table Tennis,0,2,0,0,2
1992,Table Tennis Men's Doubles,AUT,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,BEL,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,BRA,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,CHI,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,CHN,Table Tennis,2,0,0,2,4
1992,Table Tennis Men's Doubles,CRO,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,CUB,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,ESP,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,EUN,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,FRA,Table Tennis,0,0,0,4,4
1992,Table Tennis Men's Doubles,GBR,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,GER,Table Tennis,0,2,0,0,2
1992,Table Tennis Men's Doubles,IND,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,IOA,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,JPN,Table Tennis,0,0,0,4,4
1992,Table Tennis Men's Doubles,KOR,Table Tennis,0,0,4,0,4
1992,Table Tennis Men's Doubles,NGR,Table Tennis,0,0,0,4,4
1992,Table Tennis Men's Doubles,NZL,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,PER,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,POL,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Doubles,PRK,Table Tennis,0,0,0,4,4
1992,Table Tennis Men's Doubles,SWE,Table Tennis,0,0,0,4,4
1992,Table Tennis Men's Doubles,USA,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,AUS,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,AUT,Table Tennis,0,0,0,4,4
1996,Table Tennis Men's Doubles,BLR,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,BRA,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,CAN,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,CHI,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,CHN,Table Tennis,2,2,0,0,4
1996,Table Tennis Men's Doubles,CRO,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,CZE,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,FRA,Table Tennis,0,0,0,4,4
1996,Table Tennis Men's Doubles,GER,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,GHA,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,HKG,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,JAM,Table Tennis,0,0,0,2,2
1996,Table Tennis Men's Doubles,JPN,Table Tennis,0,0,0,4,4
1996,Table Tennis Men's Doubles,KOR,Table Tennis,0,0,2,2,4
1996,Table Tennis Men's Doubles,NED,Table Tennis,0,0,0,2,2
