Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1988,Table Tennis Men's Singles,AUS,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,AUT,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,BEL,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,BRA,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,BUL,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,CAN,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,CHI,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,CHN,Table Tennis,0,0,0,3,3
1988,Table Tennis Men's Singles,DOM,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,EGY,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,FRA,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,FRG,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,GBR,Table Tennis,0,0,0,3,3
1988,Table Tennis Men's Singles,HKG,Table Tennis,0,0,0,3,3
1988,Table Tennis Men's Singles,HUN,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,INA,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,IND,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,IRQ,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,ITA,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,JAM,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,JPN,Table Tennis,0,0,0,3,3
1988,Table Tennis Men's Singles,KOR,Table Tennis,1,1,0,1,3
1988,Table Tennis Men's Singles,MRI,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,NGR,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,NZL,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,PAK,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,POL,Table Tennis,0,0,0,3,3
1988,Table Tennis Men's Singles,SWE,Table Tennis,0,0,1,2,3
1988,Table Tennis Men's Singles,TCH,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,TPE,Table Tennis,0,0,0,3,3
1988,Table Tennis Men's Singles,TUN,Table Tennis,0,0,0,2,2
1988,Table Tennis Men's Singles,URS,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,USA,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,VEN,Table Tennis,0,0,0,1,1
1988,Table Tennis Men's Singles,YUG,Table Tennis,0,0,0,3,3
1992,Table Tennis Men's Singles,AUT,Table Tennis,0,0,0,1,1
1992,Table Tennis Men's Singles,BEL,Table Tennis,0,0,0,1,1
1992,Table Tennis Men's Singles,BRA,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Singles,CAN,Table Tennis,0,0,0,1,1
1992,Table Tennis Men's Singles,CHI,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Singles,CHN,Table Tennis,0,0,1,2,3
1992,Table Tennis Men's Singles,CRO,Table Tennis,0,0,0,1,1
1992,Table Tennis Men's Singles,CUB,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Singles,EGY,Table Tennis,0,0,0,1,1
1992,Table Tennis Men's Singles,ESP,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Singles,EST,Table Tennis,0,0,0,1,1
1992,Table Tennis Men's Singles,EUN,Table Tennis,0,0,0,2,2
1992,Table Tennis Men's Singles,FRA,Table Tennis,0,1,0,1,2
