Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Taekwondo Men's Welterweight,AUS,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,CHI,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,CIV,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,CUB,Taekwondo,1,0,0,0,1
2000,Taekwondo Men's Welterweight,DEN,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,GER,Taekwondo,0,1,0,0,1
2000,Taekwondo Men's Welterweight,IRI,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,ITA,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,JOR,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,LES,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,MEX,Taekwondo,0,0,1,0,1
2000,Taekwondo Men's Welterweight,PHI,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,SLO,Taekwondo,0,0,0,1,1
2000,Taekwondo Men's Welterweight,SWE,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,AUS,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,AZE,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,CUB,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,FRA,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,GBR,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,IRI,Taekwondo,0,0,1,0,1
2004,Taekwondo Men's Welterweight,IRQ,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,MEX,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,NED,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,NGR,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,PHI,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,THA,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,TTO,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,TUN,Taekwondo,0,0,0,1,1
2004,Taekwondo Men's Welterweight,TUR,Taekwondo,0,1,0,0,1
2004,Taekwondo Men's Welterweight,USA,Taekwondo,1,0,0,0,1
2008,Taekwondo Men's Welterweight,AZE,Taekwondo,0,0,0,1,1
2008,Taekwondo Men's Welterweight,CAN,Taekwondo,0,0,0,1,1
2008,Taekwondo Men's Welterweight,CHN,Taekwondo,0,0,1,0,1
2008,Taekwondo Men's Welterweight,CIV,Taekwondo,0,0,0,1,1
