Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women -57kg,AUS,Taekwondo,0,0,0,1,1
2020,Women -57kg,CAN,Taekwondo,0,0,0,1,1
2020,Women -57kg,CHN,Taekwondo,0,0,0,1,1
2020,Women -57kg,CRC,Taekwondo,0,0,0,1,1
2020,Women -57kg,EOR,Taekwondo,0,0,0,1,1
2020,Women -57kg,GBR,Taekwondo,0,0,0,1,1
2020,Women -57kg,GRE,Taekwondo,0,0,0,1,1
2020,Women -57kg,IRI,Taekwondo,0,0,0,1,1
2020,Women -57kg,JPN,Taekwondo,0,0,0,1,1
2020,Women -57kg,KOR,Taekwondo,0,0,0,1,1
2020,Women -57kg,MAR,Taekwondo,0,0,0,1,1
2020,Women -57kg,NIG,Taekwondo,0,0,0,1,1
2020,Women -57kg,POL,Taekwondo,0,0,0,1,1
2020,Women -57kg,ROC,Taekwondo,0,1,0,0,1
2020,Women -57kg,TPE,Taekwondo,0,0,1,0,1
2020,Women -57kg,TUR,Taekwondo,0,0,1,0,1
2020,Women -57kg,USA,Taekwondo,1,0,0,0,1
2024,Women -57kg,AUS,Taekwondo,0,0,0,1,1
2024,Women -57kg,BRA,Taekwondo,0,0,0,1,1
2024,Women -57kg,BUL,Taekwondo,0,0,1,0,1
2024,Women -57kg,CAN,Taekwondo,0,0,1,0,1
2024,Women -57kg,CHN,Taekwondo,0,0,0,1,1
2024,Women -57kg,CZE,Taekwondo,0,0,0,1,1
2024,Women -57kg,GAB,Taekwondo,0,0,0,1,1
2024,Women -57kg,GBR,Taekwondo,0,0,0,1,1
2024,Women -57kg,IRI,Taekwondo,0,1,0,0,1
2024,Women -57kg,KOR,Taekwondo,1,0,0,0,1
2024,Women -57kg,LBN,Taekwondo,0,0,0,1,1
2024,Women -57kg,MKD,Taekwondo,0,0,0,1,1
2024,Women -57kg,TPE,Taekwondo,0,0,0,1,1
2024,Women -57kg,TUN,Taekwondo,0,0,0,1,1
2024,Women -57kg,TUR,Taekwondo,0,0,0,1,1
2024,Women -57kg,USA,Taekwondo,0,0,0,1,1
