Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Tennis Mixed Doubles,BOH,Tennis,0,0,1,0,1
1900,Tennis Mixed Doubles,FRA,Tennis,0,1,0,2,3
1900,Tennis Mixed Doubles,GBR,Tennis,2,1,2,0,5
1900,Tennis Mixed Doubles,USA,Tennis,0,0,1,2,3
1906,Tennis Mixed Doubles,FRA,Tennis,2,0,0,0,2
1906,Tennis Mixed Doubles,GRE,Tennis,0,2,2,4,8
1912,Tennis Mixed Doubles,FRA,Tennis,0,0,2,0,2
1912,Tennis Mixed Doubles,GER,Tennis,2,0,0,0,2
1912,Tennis Mixed Doubles,NOR,Tennis,0,0,0,2,2
1912,Tennis Mixed Doubles,SWE,Tennis,0,2,0,4,6
1920,Tennis Mixed Doubles,BEL,Tennis,0,0,0,8,8
1920,Tennis Mixed Doubles,DEN,Tennis,0,0,0,2,2
1920,Tennis Mixed Doubles,FRA,Tennis,2,0,0,4,6
1920,Tennis Mixed Doubles,GBR,Tennis,0,2,0,6,8
1920,Tennis Mixed Doubles,ITA,Tennis,0,0,0,2,2
1920,Tennis Mixed Doubles,SWE,Tennis,0,0,0,4,4
1920,Tennis Mixed Doubles,TCH,Tennis,0,0,2,0,2
1924,Tennis Mixed Doubles,BEL,Tennis,0,0,0,4,4
1924,Tennis Mixed Doubles,DEN,Tennis,0,0,0,2,2
1924,Tennis Mixed Doubles,ESP,Tennis,0,0,0,4,4
1924,Tennis Mixed Doubles,FRA,Tennis,0,0,0,2,2
1924,Tennis Mixed Doubles,GBR,Tennis,0,0,0,4,4
1924,Tennis Mixed Doubles,GRE,Tennis,0,0,0,2,2
1924,Tennis Mixed Doubles,HUN,Tennis,0,0,0,2,2
1924,Tennis Mixed Doubles,IND,Tennis,0,0,0,2,2
1924,Tennis Mixed Doubles,IRL,Tennis,0,0,0,4,4
1924,Tennis Mixed Doubles,ITA,Tennis,0,0,0,2,2
1924,Tennis Mixed Doubles,NED,Tennis,0,0,2,0,2
1924,Tennis Mixed Doubles,NOR,Tennis,0,0,0,4,4
1924,Tennis Mixed Doubles,SWE,Tennis,0,0,0,4,4
1924,Tennis Mixed Doubles,USA,Tennis,2,2,0,0,4
2012,Tennis Mixed Doubles,ARG,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,AUS,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,BLR,Tennis,2,0,0,0,2
2012,Tennis Mixed Doubles,CZE,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,GBR,Tennis,0,2,0,0,2
2012,Tennis Mixed Doubles,GER,Tennis,0,0,0,4,4
2012,Tennis Mixed Doubles,IND,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,ITA,Tennis,0,0,0,4,4
2012,Tennis Mixed Doubles,POL,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,RUS,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,SRB,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,SWE,Tennis,0,0,0,2,2
2012,Tennis Mixed Doubles,USA,Tennis,0,0,2,2,4
2016,Tennis Mixed Doubles,AUS,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,BRA,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,CZE,Tennis,0,0,2,0,2
2016,Tennis Mixed Doubles,ESP,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,FRA,Tennis,0,0,0,4,4
2016,Tennis Mixed Doubles,GBR,Tennis,0,0,0,4,4
2016,Tennis Mixed Doubles,IND,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,ITA,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,NED,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,POL,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,ROU,Tennis,0,0,0,2,2
2016,Tennis Mixed Doubles,USA,Tennis,2,2,0,0,4
