Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Doubles Team,AUS,Tennis,0,0,0,4,4
2020,Women's Doubles Team,BEL,Tennis,0,0,0,2,2
2020,Women's Doubles Team,BRA,Tennis,0,0,2,0,2
2020,Women's Doubles Team,CAN,Tennis,0,0,0,2,2
2020,Women's Doubles Team,CHN,Tennis,0,0,0,4,4
2020,Women's Doubles Team,CZE,Tennis,2,0,0,2,4
2020,Women's Doubles Team,ESP,Tennis,0,0,0,4,4
2020,Women's Doubles Team,FRA,Tennis,0,0,0,4,4
2020,Women's Doubles Team,GER,Tennis,0,0,0,2,2
2020,Women's Doubles Team,IND,Tennis,0,0,0,2,2
2020,Women's Doubles Team,ITA,Tennis,0,0,0,2,2
2020,Women's Doubles Team,JPN,Tennis,0,0,0,4,4
2020,Women's Doubles Team,LAT,Tennis,0,0,0,2,2
2020,Women's Doubles Team,MEX,Tennis,0,0,0,2,2
2020,Women's Doubles Team,NED,Tennis,0,0,0,2,2
2020,Women's Doubles Team,POL,Tennis,0,0,0,2,2
2020,Women's Doubles Team,ROC,Tennis,0,0,0,2,2
2020,Women's Doubles Team,ROU,Tennis,0,0,0,2,2
2020,Women's Doubles Team,SRB,Tennis,0,0,0,2,2
2020,Women's Doubles Team,SUI,Tennis,0,2,0,0,2
2020,Women's Doubles Team,TPE,Tennis,0,0,0,4,4
2020,Women's Doubles Team,UKR,Tennis,0,0,0,4,4
2020,Women's Doubles Team,USA,Tennis,0,0,0,4,4
