Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Singles,ARG,Tennis,0,0,0,1,1
2020,Women's Singles,AUS,Tennis,0,0,0,3,3
2020,Women's Singles,BEL,Tennis,0,0,0,2,2
2020,Women's Singles,BLR,Tennis,0,0,0,1,1
2020,Women's Singles,CAN,Tennis,0,0,0,1,1
2020,Women's Singles,CHN,Tennis,0,0,0,2,2
2020,Women's Singles,COL,Tennis,0,0,0,1,1
2020,Women's Singles,CRO,Tennis,0,0,0,1,1
2020,Women's Singles,CZE,Tennis,0,1,0,3,4
2020,Women's Singles,EGY,Tennis,0,0,0,1,1
2020,Women's Singles,ESP,Tennis,0,0,0,4,4
2020,Women's Singles,EST,Tennis,0,0,0,1,1
2020,Women's Singles,FRA,Tennis,0,0,0,4,4
2020,Women's Singles,GBR,Tennis,0,0,0,1,1
2020,Women's Singles,GER,Tennis,0,0,0,3,3
2020,Women's Singles,GRE,Tennis,0,0,0,1,1
2020,Women's Singles,ITA,Tennis,0,0,0,3,3
2020,Women's Singles,JPN,Tennis,0,0,0,3,3
2020,Women's Singles,KAZ,Tennis,0,0,0,4,4
2020,Women's Singles,LAT,Tennis,0,0,0,2,2
2020,Women's Singles,MEX,Tennis,0,0,0,1,1
2020,Women's Singles,NED,Tennis,0,0,0,1,1
2020,Women's Singles,PAR,Tennis,0,0,0,1,1
2020,Women's Singles,POL,Tennis,0,0,0,2,2
2020,Women's Singles,ROC,Tennis,0,0,0,4,4
2020,Women's Singles,ROU,Tennis,0,0,0,1,1
2020,Women's Singles,SRB,Tennis,0,0,0,2,2
2020,Women's Singles,SUI,Tennis,1,0,0,1,2
2020,Women's Singles,SWE,Tennis,0,0,0,1,1
2020,Women's Singles,TUN,Tennis,0,0,0,1,1
2020,Women's Singles,UKR,Tennis,0,0,1,1,2
2020,Women's Singles,USA,Tennis,0,0,0,3,3
2024,Women's Singles,AIN,Tennis,0,0,0,3,3
2024,Women's Singles,ARG,Tennis,0,0,0,2,2
2024,Women's Singles,AUS,Tennis,0,0,0,2,2
2024,Women's Singles,AUT,Tennis,0,0,0,1,1
2024,Women's Singles,BRA,Tennis,0,0,0,2,2
2024,Women's Singles,BUL,Tennis,0,0,0,1,1
2024,Women's Singles,CAN,Tennis,0,0,0,2,2
2024,Women's Singles,CHN,Tennis,1,0,0,3,4
2024,Women's Singles,COL,Tennis,0,0,0,1,1
2024,Women's Singles,CRO,Tennis,0,1,0,1,2
2024,Women's Singles,CZE,Tennis,0,0,0,4,4
2024,Women's Singles,DEN,Tennis,0,0,0,2,2
2024,Women's Singles,EGY,Tennis,0,0,0,1,1
2024,Women's Singles,ESP,Tennis,0,0,0,2,2
2024,Women's Singles,FRA,Tennis,0,0,0,4,4
2024,Women's Singles,GBR,Tennis,0,0,0,1,1
2024,Women's Singles,GER,Tennis,0,0,0,4,4
2024,Women's Singles,GRE,Tennis,0,0,0,1,1
2024,Women's Singles,ITA,Tennis,0,0,0,4,4
2024,Women's Singles,JPN,Tennis,0,0,0,2,2
2024,Women's Singles,LAT,Tennis,0,0,0,1,1
2024,Women's Singles,MNE,Tennis,0,0,0,1,1
2024,Women's Singles,NED,Tennis,0,0,0,1,1
2024,Women's Singles,NZL,Tennis,0,0,0,1,1
2024,Women's Singles,POL,Tennis,0,0,1,2,3
2024,Women's Singles,ROU,Tennis,0,0,0,3,3
2024,Women's Singles,SUI,Tennis,0,0,0,1,1
2024,Women's Singles,SVK,Tennis,0,0,0,1,1
2024,Women's Singles,UKR,Tennis,0,0,0,3,3
2024,Women's Singles,USA,Tennis,0,0,0,4,4
