Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women,AUS,Trampoline Gymnastics,0,0,0,1,1
2020,Women,CAN,Trampoline Gymnastics,0,0,0,2,2
2020,Women,CHN,Trampoline Gymnastics,1,1,0,0,2
2020,Women,EGY,Trampoline Gymnastics,0,0,0,1,1
2020,Women,FRA,Trampoline Gymnastics,0,0,0,1,1
2020,Women,GBR,Trampoline Gymnastics,0,0,1,1,2
2020,Women,JPN,Trampoline Gymnastics,0,0,0,2,2
2020,Women,MEX,Trampoline Gymnastics,0,0,0,1,1
2020,Women,NZL,Trampoline Gymnastics,0,0,0,1,1
2020,Women,ROC,Trampoline Gymnastics,0,0,0,2,2
2020,Women,USA,Trampoline Gymnastics,0,0,0,1,1
2024,Women,AIN,Trampoline Gymnastics,0,1,0,1,2
2024,Women,AZE,Trampoline Gymnastics,0,0,0,1,1
2024,Women,BRA,Trampoline Gymnastics,0,0,0,1,1
2024,Women,CAN,Trampoline Gymnastics,0,0,1,0,1
2024,Women,CHN,Trampoline Gymnastics,0,0,0,2,2
2024,Women,EGY,Trampoline Gymnastics,0,0,0,1,1
2024,Women,ESP,Trampoline Gymnastics,0,0,0,1,1
2024,Women,FRA,Trampoline Gymnastics,0,0,0,1,1
2024,Women,GBR,Trampoline Gymnastics,1,0,0,1,2
2024,Women,GEO,Trampoline Gymnastics,0,0,0,1,1
2024,Women,JPN,Trampoline Gymnastics,0,0,0,1,1
2024,Women,NZL,Trampoline Gymnastics,0,0,0,1,1
2024,Women,USA,Trampoline Gymnastics,0,0,0,1,1
