Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Trampolining Men's Individual,ALG,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,AUS,Trampolining,0,1,0,0,1
2000,Trampolining Men's Individual,BLR,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,CAN,Trampolining,0,0,1,0,1
2000,Trampolining Men's Individual,FRA,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,GBR,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,GER,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,JPN,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,NED,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,RUS,Trampolining,1,0,0,0,1
2000,Trampolining Men's Individual,SUI,Trampolining,0,0,0,1,1
2000,Trampolining Men's Individual,UKR,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,BLR,Trampolining,0,0,0,2,2
2004,Trampolining Men's Individual,CAN,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,CHN,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,DEN,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,FRA,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,GBR,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,GER,Trampolining,0,0,1,0,1
2004,Trampolining Men's Individual,GRE,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,ITA,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,NED,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,POR,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,RUS,Trampolining,0,1,0,1,2
2004,Trampolining Men's Individual,SUI,Trampolining,0,0,0,1,1
2004,Trampolining Men's Individual,UKR,Trampolining,1,0,0,0,1
2008,Trampolining Men's Individual,AUS,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,BLR,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,CAN,Trampolining,0,1,0,0,1
2008,Trampolining Men's Individual,CHN,Trampolining,1,0,1,0,2
2008,Trampolining Men's Individual,DEN,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,FRA,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,GER,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,ITA,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,JPN,Trampolining,0,0,0,2,2
2008,Trampolining Men's Individual,POR,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,RUS,Trampolining,0,0,0,2,2
2008,Trampolining Men's Individual,UKR,Trampolining,0,0,0,1,1
2008,Trampolining Men's Individual,USA,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,AUS,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,BLR,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,CAN,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,CHN,Trampolining,1,0,1,0,2
2012,Trampolining Men's Individual,DEN,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,FRA,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,GER,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,ITA,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,JPN,Trampolining,0,0,0,2,2
2012,Trampolining Men's Individual,POR,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,RUS,Trampolining,0,1,0,1,2
2012,Trampolining Men's Individual,UKR,Trampolining,0,0,0,1,1
2012,Trampolining Men's Individual,USA,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,AUS,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,BLR,Trampolining,1,0,0,0,1
2016,Trampolining Men's Individual,BRA,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,CAN,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,CHN,Trampolining,0,1,1,0,2
2016,Trampolining Men's Individual,FRA,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,GBR,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,JPN,Trampolining,0,0,0,2,2
2016,Trampolining Men's Individual,KAZ,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,NZL,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,POR,Trampolining,0,0,0,1,1
2016,Trampolining Men's Individual,RUS,Trampolining,0,0,0,2,2
2016,Trampolining Men's Individual,USA,Trampolining,0,0,0,1,1
