Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Individual,AUS,Triathlon,0,0,0,3,3
2020,Men's Individual,AUT,Triathlon,0,0,0,2,2
2020,Men's Individual,AZE,Triathlon,0,0,0,1,1
2020,Men's Individual,BEL,Triathlon,0,0,0,1,1
2020,Men's Individual,BRA,Triathlon,0,0,0,1,1
2020,Men's Individual,CAN,Triathlon,0,0,0,2,2
2020,Men's Individual,CHI,Triathlon,0,0,0,1,1
2020,Men's Individual,ESP,Triathlon,0,0,0,3,3
2020,Men's Individual,FRA,Triathlon,0,0,0,3,3
2020,Men's Individual,GBR,Triathlon,0,1,0,1,2
2020,Men's Individual,GER,Triathlon,0,0,0,2,2
2020,Men's Individual,HKG,Triathlon,0,0,0,1,1
2020,Men's Individual,HUN,Triathlon,0,0,0,2,2
2020,Men's Individual,IRL,Triathlon,0,0,0,1,1
2020,Men's Individual,ISR,Triathlon,0,0,0,2,2
2020,Men's Individual,ITA,Triathlon,0,0,0,2,2
2020,Men's Individual,JPN,Triathlon,0,0,0,2,2
2020,Men's Individual,LUX,Triathlon,0,0,0,1,1
2020,Men's Individual,MAR,Triathlon,0,0,0,1,1
2020,Men's Individual,MEX,Triathlon,0,0,0,2,2
2020,Men's Individual,NOR,Triathlon,1,0,0,2,3
2020,Men's Individual,NZL,Triathlon,0,0,1,1,2
2020,Men's Individual,POR,Triathlon,0,0,0,2,2
2020,Men's Individual,ROC,Triathlon,0,0,0,2,2
2020,Men's Individual,ROU,Triathlon,0,0,0,1,1
2020,Men's Individual,RSA,Triathlon,0,0,0,1,1
2020,Men's Individual,SUI,Triathlon,0,0,0,2,2
2020,Men's Individual,SYR,Triathlon,0,0,0,1,1
2020,Men's Individual,USA,Triathlon,0,0,0,2,2
2024,Men's Individual,AUS,Triathlon,0,0,0,2,2
2024,Men's Individual,AUT,Triathlon,0,0,0,2,2
2024,Men's Individual,AZE,Triathlon,0,0,0,1,1
2024,Men's Individual,BAR,Triathlon,0,0,0,1,1
2024,Men's Individual,BEL,Triathlon,0,0,0,2,2
2024,Men's Individual,BER,Triathlon,0,0,0,1,1
2024,Men's Individual,BRA,Triathlon,0,0,0,2,2
2024,Men's Individual,CAN,Triathlon,0,0,0,2,2
2024,Men's Individual,CHI,Triathlon,0,0,0,2,2
2024,Men's Individual,DEN,Triathlon,0,0,0,1,1
2024,Men's Individual,ESP,Triathlon,0,0,0,3,3
2024,Men's Individual,FRA,Triathlon,0,0,1,2,3
2024,Men's Individual,GBR,Triathlon,1,0,0,1,2
2024,Men's Individual,GER,Triathlon,0,0,0,3,3
2024,Men's Individual,HKG,Triathlon,0,0,0,1,1
2024,Men's Individual,HUN,Triathlon,0,0,0,2,2
2024,Men's Individual,ISR,Triathlon,0,0,0,1,1
2024,Men's Individual,ITA,Triathlon,0,0,0,2,2
2024,Men's Individual,JPN,Triathlon,0,0,0,2,2
2024,Men's Individual,MAR,Triathlon,0,0,0,1,1
2024,Men's Individual,MEX,Triathlon,0,0,0,2,2
2024,Men's Individual,MRI,Triathlon,0,0,0,1,1
2024,Men's Individual,NED,Triathlon,0,0,0,2,2
2024,Men's Individual,NOR,Triathlon,0,0,0,2,2
2024,Men's Individual,NZL,Triathlon,0,1,0,1,2
2024,Men's Individual,POR,Triathlon,0,0,0,2,2
2024,Men's Individual,ROU,Triathlon,0,0,0,1,1
2024,Men's Individual,RSA,Triathlon,0,0,0,2,2
2024,Men's Individual,SUI,Triathlon,0,0,0,2,2
2024,Men's Individual,TOG,Triathlon,0,0,0,1,1
2024,Men's Individual,USA,Triathlon,0,0,0,2,2
