Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Triathlon Men's Olympic Distance,AHO,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,ARG,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,AUS,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,AUT,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,BRA,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,CAN,Triathlon,1,0,0,0,1
2000,Triathlon Men's Olympic Distance,CHI,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,CZE,Triathlon,0,0,1,2,3
2000,Triathlon Men's Olympic Distance,DEN,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,ESP,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,FRA,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,GBR,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,GER,Triathlon,0,1,0,1,2
2000,Triathlon Men's Olympic Distance,GRE,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,HUN,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,ITA,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,JPN,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,KAZ,Triathlon,0,0,0,2,2
2000,Triathlon Men's Olympic Distance,NED,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,NZL,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,RSA,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,SUI,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,SWE,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,UKR,Triathlon,0,0,0,2,2
2000,Triathlon Men's Olympic Distance,USA,Triathlon,0,0,0,3,3
2000,Triathlon Men's Olympic Distance,VEN,Triathlon,0,0,0,1,1
2000,Triathlon Men's Olympic Distance,ZIM,Triathlon,0,0,0,1,1
2004,Triathlon Men's Olympic Distance,ARG,Triathlon,0,0,0,1,1
2004,Triathlon Men's Olympic Distance,AUS,Triathlon,0,0,0,3,3
2004,Triathlon Men's Olympic Distance,AUT,Triathlon,0,0,0,1,1
2004,Triathlon Men's Olympic Distance,BER,Triathlon,0,0,0,1,1
2004,Triathlon Men's Olympic Distance,BRA,Triathlon,0,0,0,3,3
2004,Triathlon Men's Olympic Distance,CAN,Triathlon,0,0,0,2,2
2004,Triathlon Men's Olympic Distance,CZE,Triathlon,0,0,0,2,2
