Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men,ARG,Volleyball,0,0,0,13,13
2024,Men,BRA,Volleyball,0,0,0,13,13
2024,Men,CAN,Volleyball,0,0,0,13,13
2024,Men,EGY,Volleyball,0,0,0,13,13
2024,Men,FRA,Volleyball,13,0,0,0,13
2024,Men,GER,Volleyball,0,0,0,13,13
2024,Men,ITA,Volleyball,0,0,0,13,13
2024,Men,JPN,Volleyball,0,0,0,13,13
2024,Men,POL,Volleyball,0,13,0,0,13
2024,Men,SLO,Volleyball,0,0,0,13,13
2024,Men,SRB,Volleyball,0,0,0,13,13
2024,Men,USA,Volleyball,0,0,13,0,13
