Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1964,Volleyball Men's Volleyball,BRA,Volleyball,0,0,0,10,10
1964,Volleyball Men's Volleyball,BUL,Volleyball,0,0,0,12,12
1964,Volleyball Men's Volleyball,HUN,Volleyball,0,0,0,11,11
1964,Volleyball Men's Volleyball,JPN,Volleyball,0,0,9,0,9
1964,Volleyball Men's Volleyball,KOR,Volleyball,0,0,0,12,12
1964,Volleyball Men's Volleyball,NED,Volleyball,0,0,0,12,12
1964,Volleyball Men's Volleyball,ROU,Volleyball,0,0,0,11,11
1964,Volleyball Men's Volleyball,TCH,Volleyball,0,11,0,0,11
1964,Volleyball Men's Volleyball,URS,Volleyball,11,0,0,0,11
1964,Volleyball Men's Volleyball,USA,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,BEL,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,BRA,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,BUL,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,GDR,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,JPN,Volleyball,0,11,0,0,11
1968,Volleyball Men's Volleyball,MEX,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,POL,Volleyball,0,0,0,12,12
1968,Volleyball Men's Volleyball,TCH,Volleyball,0,0,12,0,12
1968,Volleyball Men's Volleyball,URS,Volleyball,12,0,0,0,12
1968,Volleyball Men's Volleyball,USA,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,BRA,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,BUL,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,CUB,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,FRG,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,GDR,Volleyball,0,12,0,0,12
1972,Volleyball Men's Volleyball,JPN,Volleyball,12,0,0,0,12
1972,Volleyball Men's Volleyball,KOR,Volleyball,0,0,0,10,10
1972,Volleyball Men's Volleyball,POL,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,ROU,Volleyball,0,0,0,11,11
1972,Volleyball Men's Volleyball,TCH,Volleyball,0,0,0,12,12
1972,Volleyball Men's Volleyball,TUN,Volleyball,0,0,0,11,11
1972,Volleyball Men's Volleyball,URS,Volleyball,0,0,12,0,12
1976,Volleyball Men's Volleyball,BRA,Volleyball,0,0,0,12,12
1976,Volleyball Men's Volleyball,CAN,Volleyball,0,0,0,12,12
1976,Volleyball Men's Volleyball,CUB,Volleyball,0,0,12,0,12
1976,Volleyball Men's Volleyball,EGY,Volleyball,0,0,0,12,12
1976,Volleyball Men's Volleyball,ITA,Volleyball,0,0,0,12,12
1976,Volleyball Men's Volleyball,JPN,Volleyball,0,0,0,12,12
1976,Volleyball Men's Volleyball,KOR,Volleyball,0,0,0,12,12
1976,Volleyball Men's Volleyball,POL,Volleyball,12,0,0,0,12
