Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women Team,ARG,Volleyball,0,0,0,12,12
2020,Women Team,BRA,Volleyball,0,12,0,0,12
2020,Women Team,CHN,Volleyball,0,0,0,12,12
2020,Women Team,DOM,Volleyball,0,0,0,12,12
2020,Women Team,ITA,Volleyball,0,0,0,12,12
2020,Women Team,JPN,Volleyball,0,0,0,12,12
2020,Women Team,KEN,Volleyball,0,0,0,12,12
2020,Women Team,KOR,Volleyball,0,0,0,12,12
2020,Women Team,ROC,Volleyball,0,0,0,12,12
2020,Women Team,SRB,Volleyball,0,0,12,0,12
2020,Women Team,TUR,Volleyball,0,0,0,12,12
2020,Women Team,USA,Volleyball,12,0,0,0,12
