Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Water Polo Men's Water Polo,BEL,Water Polo,0,10,0,1,11
1900,Water Polo Men's Water Polo,FRA,Water Polo,0,0,14,13,27
1900,Water Polo Men's Water Polo,GBR,Water Polo,6,0,1,0,7
1900,Water Polo Men's Water Polo,GER,Water Polo,0,0,0,7,7
1900,Water Polo Men's Water Polo,NZL,Water Polo,1,0,0,0,1
1904,Water Polo Men's Water Polo,USA,Water Polo,7,7,7,0,21
1908,Water Polo Men's Water Polo,BEL,Water Polo,0,7,0,0,7
1908,Water Polo Men's Water Polo,GBR,Water Polo,7,0,0,0,7
1908,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,7,7
1908,Water Polo Men's Water Polo,SWE,Water Polo,0,0,7,0,7
1912,Water Polo Men's Water Polo,AUT,Water Polo,0,0,0,7,7
1912,Water Polo Men's Water Polo,BEL,Water Polo,0,0,9,0,9
1912,Water Polo Men's Water Polo,FRA,Water Polo,0,0,0,8,8
1912,Water Polo Men's Water Polo,GBR,Water Polo,7,0,0,0,7
1912,Water Polo Men's Water Polo,HUN,Water Polo,0,0,0,7,7
1912,Water Polo Men's Water Polo,SWE,Water Polo,0,7,0,0,7
1920,Water Polo Men's Water Polo,BEL,Water Polo,0,8,0,0,8
1920,Water Polo Men's Water Polo,BRA,Water Polo,0,0,0,8,8
1920,Water Polo Men's Water Polo,ESP,Water Polo,0,0,0,8,8
1920,Water Polo Men's Water Polo,FRA,Water Polo,0,0,0,7,7
1920,Water Polo Men's Water Polo,GBR,Water Polo,7,0,0,0,7
1920,Water Polo Men's Water Polo,GRE,Water Polo,0,0,0,9,9
1920,Water Polo Men's Water Polo,ITA,Water Polo,0,0,0,8,8
1920,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,9,9
1920,Water Polo Men's Water Polo,SUI,Water Polo,0,0,0,7,7
1920,Water Polo Men's Water Polo,SWE,Water Polo,0,0,10,0,10
1920,Water Polo Men's Water Polo,TCH,Water Polo,0,0,0,8,8
1920,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,12,12
1924,Water Polo Men's Water Polo,BEL,Water Polo,0,11,0,0,11
1924,Water Polo Men's Water Polo,ESP,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,FRA,Water Polo,7,0,0,0,7
1924,Water Polo Men's Water Polo,GBR,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,GRE,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,HUN,Water Polo,0,0,0,8,8
1924,Water Polo Men's Water Polo,IRL,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,ITA,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,SUI,Water Polo,0,0,0,7,7
1924,Water Polo Men's Water Polo,SWE,Water Polo,0,0,0,8,8
1924,Water Polo Men's Water Polo,TCH,Water Polo,0,0,0,9,9
1924,Water Polo Men's Water Polo,USA,Water Polo,0,0,9,0,9
1928,Water Polo Men's Water Polo,ARG,Water Polo,0,0,0,7,7
1928,Water Polo Men's Water Polo,BEL,Water Polo,0,0,0,10,10
1928,Water Polo Men's Water Polo,ESP,Water Polo,0,0,0,7,7
1928,Water Polo Men's Water Polo,FRA,Water Polo,0,0,9,0,9
1928,Water Polo Men's Water Polo,GBR,Water Polo,0,0,0,9,9
1928,Water Polo Men's Water Polo,GER,Water Polo,8,0,0,0,8
1928,Water Polo Men's Water Polo,HUN,Water Polo,0,7,0,0,7
1928,Water Polo Men's Water Polo,IRL,Water Polo,0,0,0,7,7
1928,Water Polo Men's Water Polo,LUX,Water Polo,0,0,0,7,7
1928,Water Polo Men's Water Polo,MLT,Water Polo,0,0,0,9,9
1928,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,9,9
1928,Water Polo Men's Water Polo,SUI,Water Polo,0,0,0,7,7
1928,Water Polo Men's Water Polo,TCH,Water Polo,0,0,0,7,7
1928,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,9,9
1932,Water Polo Men's Water Polo,BRA,Water Polo,0,0,0,8,8
1932,Water Polo Men's Water Polo,GER,Water Polo,0,8,0,0,8
1932,Water Polo Men's Water Polo,HUN,Water Polo,10,0,0,0,10
1932,Water Polo Men's Water Polo,JPN,Water Polo,0,0,0,8,8
1932,Water Polo Men's Water Polo,USA,Water Polo,0,0,7,0,7
1936,Water Polo Men's Water Polo,AUT,Water Polo,0,0,0,11,11
1936,Water Polo Men's Water Polo,BEL,Water Polo,0,0,9,0,9
1936,Water Polo Men's Water Polo,FRA,Water Polo,0,0,0,7,7
1936,Water Polo Men's Water Polo,GBR,Water Polo,0,0,0,11,11
1936,Water Polo Men's Water Polo,GER,Water Polo,0,11,0,0,11
1936,Water Polo Men's Water Polo,HUN,Water Polo,11,0,0,0,11
1936,Water Polo Men's Water Polo,ISL,Water Polo,0,0,0,8,8
1936,Water Polo Men's Water Polo,JPN,Water Polo,0,0,0,8,8
1936,Water Polo Men's Water Polo,MLT,Water Polo,0,0,0,9,9
1936,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,9,9
1936,Water Polo Men's Water Polo,SUI,Water Polo,0,0,0,8,8
1936,Water Polo Men's Water Polo,SWE,Water Polo,0,0,0,10,10
1936,Water Polo Men's Water Polo,TCH,Water Polo,0,0,0,7,7
1936,Water Polo Men's Water Polo,URU,Water Polo,0,0,0,7,7
1936,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,9,9
1936,Water Polo Men's Water Polo,YUG,Water Polo,0,0,0,7,7
1948,Water Polo Men's Water Polo,ARG,Water Polo,0,0,0,7,7
1948,Water Polo Men's Water Polo,AUS,Water Polo,0,0,0,10,10
1948,Water Polo Men's Water Polo,BEL,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,CHI,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,EGY,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,ESP,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,FRA,Water Polo,0,0,0,11,11
1948,Water Polo Men's Water Polo,GBR,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,GRE,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,HUN,Water Polo,0,11,0,0,11
1948,Water Polo Men's Water Polo,IND,Water Polo,0,0,0,9,9
1948,Water Polo Men's Water Polo,ITA,Water Polo,9,0,0,0,9
1948,Water Polo Men's Water Polo,NED,Water Polo,0,0,9,0,9
1948,Water Polo Men's Water Polo,SUI,Water Polo,0,0,0,7,7
1948,Water Polo Men's Water Polo,SWE,Water Polo,0,0,0,10,10
1948,Water Polo Men's Water Polo,URU,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,8,8
1948,Water Polo Men's Water Polo,YUG,Water Polo,0,0,0,9,9
1952,Water Polo Men's Water Polo,ARG,Water Polo,0,0,0,7,7
1952,Water Polo Men's Water Polo,AUS,Water Polo,0,0,0,7,7
1952,Water Polo Men's Water Polo,AUT,Water Polo,0,0,0,10,10
1952,Water Polo Men's Water Polo,BEL,Water Polo,0,0,0,10,10
1952,Water Polo Men's Water Polo,BRA,Water Polo,0,0,0,11,11
1952,Water Polo Men's Water Polo,EGY,Water Polo,0,0,0,10,10
1952,Water Polo Men's Water Polo,ESP,Water Polo,0,0,0,8,8
1952,Water Polo Men's Water Polo,GBR,Water Polo,0,0,0,9,9
1952,Water Polo Men's Water Polo,GER,Water Polo,0,0,0,9,9
1952,Water Polo Men's Water Polo,HUN,Water Polo,13,0,0,0,13
1952,Water Polo Men's Water Polo,IND,Water Polo,0,0,0,10,10
1952,Water Polo Men's Water Polo,ITA,Water Polo,0,0,11,0,11
1952,Water Polo Men's Water Polo,MEX,Water Polo,0,0,0,7,7
1952,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,7,7
1952,Water Polo Men's Water Polo,POR,Water Polo,0,0,0,9,9
1952,Water Polo Men's Water Polo,ROU,Water Polo,0,0,0,8,8
1952,Water Polo Men's Water Polo,RSA,Water Polo,0,0,0,8,8
1952,Water Polo Men's Water Polo,SWE,Water Polo,0,0,0,8,8
1952,Water Polo Men's Water Polo,URS,Water Polo,0,0,0,10,10
1952,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,10,10
1952,Water Polo Men's Water Polo,YUG,Water Polo,0,9,0,0,9
1956,Water Polo Men's Water Polo,AUS,Water Polo,0,0,0,9,9
1956,Water Polo Men's Water Polo,GBR,Water Polo,0,0,0,9,9
1956,Water Polo Men's Water Polo,GER,Water Polo,0,0,0,10,10
1956,Water Polo Men's Water Polo,HUN,Water Polo,11,0,0,0,11
1956,Water Polo Men's Water Polo,ITA,Water Polo,0,0,0,10,10
1956,Water Polo Men's Water Polo,ROU,Water Polo,0,0,0,9,9
1956,Water Polo Men's Water Polo,SGP,Water Polo,0,0,0,10,10
1956,Water Polo Men's Water Polo,URS,Water Polo,0,0,10,0,10
1956,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,10,10
1956,Water Polo Men's Water Polo,YUG,Water Polo,0,8,0,0,8
1960,Water Polo Men's Water Polo,ARG,Water Polo,0,0,0,7,7
1960,Water Polo Men's Water Polo,AUS,Water Polo,0,0,0,10,10
1960,Water Polo Men's Water Polo,BEL,Water Polo,0,0,0,7,7
1960,Water Polo Men's Water Polo,BRA,Water Polo,0,0,0,9,9
1960,Water Polo Men's Water Polo,FRA,Water Polo,0,0,0,11,11
1960,Water Polo Men's Water Polo,GER,Water Polo,0,0,0,9,9
1960,Water Polo Men's Water Polo,HUN,Water Polo,0,0,14,0,14
1960,Water Polo Men's Water Polo,ITA,Water Polo,12,0,0,0,12
1960,Water Polo Men's Water Polo,JPN,Water Polo,0,0,0,7,7
1960,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,9,9
1960,Water Polo Men's Water Polo,ROU,Water Polo,0,0,0,7,7
1960,Water Polo Men's Water Polo,RSA,Water Polo,0,0,0,9,9
1960,Water Polo Men's Water Polo,UAR,Water Polo,0,0,0,10,10
1960,Water Polo Men's Water Polo,URS,Water Polo,0,11,0,0,11
1960,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,10,10
1960,Water Polo Men's Water Polo,YUG,Water Polo,0,0,0,8,8
1964,Water Polo Men's Water Polo,AUS,Water Polo,0,0,0,11,11
1964,Water Polo Men's Water Polo,BEL,Water Polo,0,0,0,10,10
1964,Water Polo Men's Water Polo,BRA,Water Polo,0,0,0,11,11
1964,Water Polo Men's Water Polo,EGY,Water Polo,0,0,0,9,9
1964,Water Polo Men's Water Polo,GER,Water Polo,0,0,0,11,11
1964,Water Polo Men's Water Polo,HUN,Water Polo,12,0,0,0,12
1964,Water Polo Men's Water Polo,ITA,Water Polo,0,0,0,12,12
1964,Water Polo Men's Water Polo,JPN,Water Polo,0,0,0,8,8
1964,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,11,11
1964,Water Polo Men's Water Polo,ROU,Water Polo,0,0,0,10,10
1964,Water Polo Men's Water Polo,URS,Water Polo,0,0,11,0,11
1964,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,10,10
1964,Water Polo Men's Water Polo,YUG,Water Polo,0,11,0,0,11
1968,Water Polo Men's Water Polo,BRA,Water Polo,0,0,0,10,10
1968,Water Polo Men's Water Polo,CUB,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,EGY,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,ESP,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,FRG,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,GDR,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,GRE,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,HUN,Water Polo,0,0,11,0,11
1968,Water Polo Men's Water Polo,ITA,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,JPN,Water Polo,0,0,0,9,9
1968,Water Polo Men's Water Polo,MEX,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,NED,Water Polo,0,0,0,11,11
1968,Water Polo Men's Water Polo,URS,Water Polo,0,11,0,0,11
1968,Water Polo Men's Water Polo,USA,Water Polo,0,0,0,11,11
