Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's +102kg,ALG,Weightlifting,0,0,0,1,1
2024,Men's +102kg,ARM,Weightlifting,0,1,0,0,1
2024,Men's +102kg,BRN,Weightlifting,0,0,1,0,1
2024,Men's +102kg,CZE,Weightlifting,0,0,0,1,1
2024,Men's +102kg,EGY,Weightlifting,0,0,0,1,1
2024,Men's +102kg,EST,Weightlifting,0,0,0,1,1
2024,Men's +102kg,GEO,Weightlifting,1,0,0,0,1
2024,Men's +102kg,IRI,Weightlifting,0,0,0,1,1
2024,Men's +102kg,IRQ,Weightlifting,0,0,0,1,1
2024,Men's +102kg,JPN,Weightlifting,0,0,0,1,1
2024,Men's +102kg,NZL,Weightlifting,0,0,0,1,1
2024,Men's +102kg,SYR,Weightlifting,0,0,0,1,1
