Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's 61kg,CHN,Weightlifting,1,0,0,0,1
2020,Men's 61kg,DOM,Weightlifting,0,0,0,1,1
2020,Men's 61kg,GEO,Weightlifting,0,0,0,1,1
2020,Men's 61kg,GER,Weightlifting,0,0,0,1,1
2020,Men's 61kg,INA,Weightlifting,0,1,0,0,1
2020,Men's 61kg,ITA,Weightlifting,0,0,0,1,1
2020,Men's 61kg,JPN,Weightlifting,0,0,0,1,1
2020,Men's 61kg,KAZ,Weightlifting,0,0,1,0,1
2020,Men's 61kg,KSA,Weightlifting,0,0,0,1,1
2020,Men's 61kg,MAD,Weightlifting,0,0,0,1,1
2020,Men's 61kg,PER,Weightlifting,0,0,0,1,1
2020,Men's 61kg,PNG,Weightlifting,0,0,0,1,1
2020,Men's 61kg,TPE,Weightlifting,0,0,0,1,1
2020,Men's 61kg,VIE,Weightlifting,0,0,0,1,1
2024,Men's 61kg,BUL,Weightlifting,0,0,0,1,1
2024,Men's 61kg,CHN,Weightlifting,1,0,0,0,1
2024,Men's 61kg,GEO,Weightlifting,0,0,0,1,1
2024,Men's 61kg,INA,Weightlifting,0,0,0,1,1
2024,Men's 61kg,ITA,Weightlifting,0,0,0,1,1
2024,Men's 61kg,KIR,Weightlifting,0,0,0,1,1
2024,Men's 61kg,MAS,Weightlifting,0,0,0,1,1
2024,Men's 61kg,PHI,Weightlifting,0,0,0,1,1
2024,Men's 61kg,PNG,Weightlifting,0,0,0,1,1
2024,Men's 61kg,THA,Weightlifting,0,1,0,0,1
2024,Men's 61kg,USA,Weightlifting,0,0,1,0,1
2024,Men's 61kg,VIE,Weightlifting,0,0,0,1,1
