Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,Weightlifting Men's Featherweight,BEL,Weightlifting,1,0,0,1,2
1920,Weightlifting Men's Featherweight,DEN,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Featherweight,EST,Weightlifting,0,1,0,1,2
1920,Weightlifting Men's Featherweight,FRA,Weightlifting,0,0,0,2,2
1920,Weightlifting Men's Featherweight,GBR,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Featherweight,ITA,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Featherweight,LUX,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Featherweight,NED,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Featherweight,SUI,Weightlifting,0,0,1,0,1
1920,Weightlifting Men's Featherweight,SWE,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Featherweight,TCH,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Featherweight,AUT,Weightlifting,0,1,0,2,3
1924,Weightlifting Men's Featherweight,BEL,Weightlifting,0,0,0,2,2
1924,Weightlifting Men's Featherweight,EST,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Featherweight,FRA,Weightlifting,0,0,0,3,3
1924,Weightlifting Men's Featherweight,GBR,Weightlifting,0,0,0,3,3
1924,Weightlifting Men's Featherweight,ITA,Weightlifting,1,0,0,2,3
1924,Weightlifting Men's Featherweight,POR,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Featherweight,SUI,Weightlifting,0,0,1,1,2
1924,Weightlifting Men's Featherweight,SWE,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Featherweight,TCH,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Featherweight,TUR,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Featherweight,ARG,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Featherweight,AUT,Weightlifting,1,0,0,1,2
1928,Weightlifting Men's Featherweight,BEL,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Featherweight,EST,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Featherweight,FRA,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Featherweight,GBR,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Featherweight,GER,Weightlifting,0,0,1,1,2
1928,Weightlifting Men's Featherweight,ITA,Weightlifting,0,1,0,1,2
1928,Weightlifting Men's Featherweight,NED,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Featherweight,POR,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Featherweight,SUI,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Featherweight,TCH,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Featherweight,TUR,Weightlifting,0,0,0,1,1
1932,Weightlifting Men's Featherweight,FRA,Weightlifting,1,0,0,0,1
1932,Weightlifting Men's Featherweight,GER,Weightlifting,0,1,0,1,2
1932,Weightlifting Men's Featherweight,ITA,Weightlifting,0,0,0,1,1
1932,Weightlifting Men's Featherweight,USA,Weightlifting,0,0,1,1,2
1936,Weightlifting Men's Featherweight,AUT,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Featherweight,CHN,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Featherweight,EGY,Weightlifting,0,1,1,0,2
1936,Weightlifting Men's Featherweight,EST,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Featherweight,FRA,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Featherweight,GBR,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Featherweight,GER,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Featherweight,HUN,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Featherweight,ITA,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Featherweight,LUX,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Featherweight,SUI,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Featherweight,TCH,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Featherweight,USA,Weightlifting,1,0,0,1,2
1948,Weightlifting Men's Featherweight,ARG,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Featherweight,AUT,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Featherweight,BEL,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Featherweight,DEN,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Featherweight,EGY,Weightlifting,1,0,0,1,2
1948,Weightlifting Men's Featherweight,FRA,Weightlifting,0,0,0,2,2
1948,Weightlifting Men's Featherweight,GBR,Weightlifting,0,0,0,2,2
