Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,Weightlifting Men's Flyweight,CAN,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,COL,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,HUN,Weightlifting,0,1,1,0,2
1972,Weightlifting Men's Flyweight,INA,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,IND,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,IRI,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,JPN,Weightlifting,0,0,0,2,2
1972,Weightlifting Men's Flyweight,MYA,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,PHI,Weightlifting,0,0,0,2,2
1972,Weightlifting Men's Flyweight,POL,Weightlifting,1,0,0,1,2
1972,Weightlifting Men's Flyweight,PRK,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,ROU,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Flyweight,THA,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,COL,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,CUB,Weightlifting,0,0,0,2,2
1976,Weightlifting Men's Flyweight,DOM,Weightlifting,0,0,0,2,2
1976,Weightlifting Men's Flyweight,EGY,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,GBR,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,GRE,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,HUN,Weightlifting,0,1,0,1,2
1976,Weightlifting Men's Flyweight,IND,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,IRI,Weightlifting,0,0,1,0,1
1976,Weightlifting Men's Flyweight,JPN,Weightlifting,0,0,0,2,2
1976,Weightlifting Men's Flyweight,PAN,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,PHI,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,POL,Weightlifting,0,0,0,2,2
1976,Weightlifting Men's Flyweight,PRK,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,PUR,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,TCH,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,THA,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Flyweight,URS,Weightlifting,1,0,0,0,1
1980,Weightlifting Men's Flyweight,BEL,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,BRA,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,CUB,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,GRE,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,HUN,Weightlifting,0,0,0,2,2
1980,Weightlifting Men's Flyweight,IND,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,ITA,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,LBA,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Flyweight,MGL,Weightlifting,0,0,0,2,2
1980,Weightlifting Men's Flyweight,POL,Weightlifting,0,0,0,1,1
