Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1980,Weightlifting Men's Heavyweight II,AUS,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,AUT,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,BUL,Weightlifting,0,1,0,0,1
1980,Weightlifting Men's Heavyweight II,DOM,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,FIN,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,GBR,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,GRE,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,HUN,Weightlifting,0,0,1,0,1
1980,Weightlifting Men's Heavyweight II,IRQ,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,ROU,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,SWE,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,TCH,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Heavyweight II,URS,Weightlifting,1,0,0,0,1
1984,Weightlifting Men's Heavyweight II,CAN,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,EGY,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,FRG,Weightlifting,0,0,0,2,2
1984,Weightlifting Men's Heavyweight II,GBR,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,GRE,Weightlifting,0,0,0,2,2
1984,Weightlifting Men's Heavyweight II,ITA,Weightlifting,1,0,0,0,1
1984,Weightlifting Men's Heavyweight II,JAM,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,ROU,Weightlifting,0,1,0,0,1
1984,Weightlifting Men's Heavyweight II,SWE,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,SYR,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,UGA,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Heavyweight II,USA,Weightlifting,0,0,1,1,2
1988,Weightlifting Men's Heavyweight II,ALG,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,ASA,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,DEN,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,FRG,Weightlifting,0,0,0,2,2
1988,Weightlifting Men's Heavyweight II,GBR,Weightlifting,0,0,0,2,2
1988,Weightlifting Men's Heavyweight II,GDR,Weightlifting,0,0,1,1,2
1988,Weightlifting Men's Heavyweight II,GUM,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,HUN,Weightlifting,0,1,0,0,1
1988,Weightlifting Men's Heavyweight II,ITA,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,KEN,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,POL,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,SWE,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,TCH,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Heavyweight II,URS,Weightlifting,1,0,0,1,2
1988,Weightlifting Men's Heavyweight II,USA,Weightlifting,0,0,0,2,2
1992,Weightlifting Men's Heavyweight II,ALB,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,BIH,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,BUL,Weightlifting,0,0,1,0,1
1992,Weightlifting Men's Heavyweight II,CUB,Weightlifting,0,0,0,2,2
1992,Weightlifting Men's Heavyweight II,EGY,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,EUN,Weightlifting,0,1,0,0,1
1992,Weightlifting Men's Heavyweight II,FIN,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,GBR,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,GER,Weightlifting,1,0,0,1,2
1992,Weightlifting Men's Heavyweight II,GRE,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,HUN,Weightlifting,0,0,0,2,2
1992,Weightlifting Men's Heavyweight II,IRI,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,IRQ,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,ITA,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,KOR,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,POL,Weightlifting,0,0,0,2,2
1992,Weightlifting Men's Heavyweight II,ROU,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,SWE,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,TCH,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Heavyweight II,USA,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,ARM,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,BLR,Weightlifting,0,0,0,2,2
1996,Weightlifting Men's Heavyweight II,CHN,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,FIN,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,GER,Weightlifting,0,0,0,2,2
1996,Weightlifting Men's Heavyweight II,GRE,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,JPN,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,KOR,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,LAT,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,MRI,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,POL,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,ROU,Weightlifting,0,0,1,0,1
1996,Weightlifting Men's Heavyweight II,RUS,Weightlifting,0,1,0,1,2
1996,Weightlifting Men's Heavyweight II,THA,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,UGA,Weightlifting,0,0,0,1,1
1996,Weightlifting Men's Heavyweight II,UKR,Weightlifting,1,0,0,1,2
1996,Weightlifting Men's Heavyweight II,USA,Weightlifting,0,0,0,2,2
1996,Weightlifting Men's Heavyweight II,UZB,Weightlifting,0,0,0,1,1
