Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,Weightlifting Men's Heavyweight,DEN,Weightlifting,0,0,0,1,1
1920,Weightlifting Men's Heavyweight,FRA,Weightlifting,0,0,1,1,2
1920,Weightlifting Men's Heavyweight,ITA,Weightlifting,1,0,0,0,1
1920,Weightlifting Men's Heavyweight,LUX,Weightlifting,0,1,0,0,1
1920,Weightlifting Men's Heavyweight,SWE,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,AUT,Weightlifting,0,1,0,2,3
1924,Weightlifting Men's Heavyweight,BEL,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,EST,Weightlifting,0,0,1,1,2
1924,Weightlifting Men's Heavyweight,FRA,Weightlifting,0,0,0,3,3
1924,Weightlifting Men's Heavyweight,GBR,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,ITA,Weightlifting,1,0,0,2,3
1924,Weightlifting Men's Heavyweight,LAT,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,LUX,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,NED,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,SUI,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,SWE,Weightlifting,0,0,0,1,1
1924,Weightlifting Men's Heavyweight,TCH,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Heavyweight,AUT,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Heavyweight,BEL,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Heavyweight,EST,Weightlifting,0,1,0,0,1
1928,Weightlifting Men's Heavyweight,FRA,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Heavyweight,GBR,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Heavyweight,GER,Weightlifting,1,0,0,1,2
1928,Weightlifting Men's Heavyweight,ITA,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Heavyweight,LAT,Weightlifting,0,0,0,1,1
1928,Weightlifting Men's Heavyweight,NED,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Heavyweight,SUI,Weightlifting,0,0,0,2,2
1928,Weightlifting Men's Heavyweight,TCH,Weightlifting,0,0,1,0,1
1932,Weightlifting Men's Heavyweight,FRA,Weightlifting,0,0,0,1,1
1932,Weightlifting Men's Heavyweight,GER,Weightlifting,0,0,1,0,1
1932,Weightlifting Men's Heavyweight,TCH,Weightlifting,1,1,0,0,2
1932,Weightlifting Men's Heavyweight,USA,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Heavyweight,AUT,Weightlifting,0,0,0,2,2
1936,Weightlifting Men's Heavyweight,EGY,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Heavyweight,EST,Weightlifting,0,0,1,0,1
1936,Weightlifting Men's Heavyweight,FRA,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Heavyweight,GBR,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Heavyweight,GER,Weightlifting,1,0,0,1,2
1936,Weightlifting Men's Heavyweight,SUI,Weightlifting,0,0,0,1,1
1936,Weightlifting Men's Heavyweight,TCH,Weightlifting,0,1,0,1,2
1936,Weightlifting Men's Heavyweight,USA,Weightlifting,0,0,0,2,2
1948,Weightlifting Men's Heavyweight,ARG,Weightlifting,0,0,0,2,2
1948,Weightlifting Men's Heavyweight,AUS,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,AUT,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,BEL,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,CUB,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,DEN,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,EGY,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,GBR,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,IND,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,NED,Weightlifting,0,0,1,0,1
1948,Weightlifting Men's Heavyweight,PAK,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,PER,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,RSA,Weightlifting,0,0,0,1,1
1948,Weightlifting Men's Heavyweight,USA,Weightlifting,1,1,0,0,2
1952,Weightlifting Men's Heavyweight,ARG,Weightlifting,0,0,1,1,2
1952,Weightlifting Men's Heavyweight,AUT,Weightlifting,0,0,0,1,1
1952,Weightlifting Men's Heavyweight,BRA,Weightlifting,0,0,0,1,1
