Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,Weightlifting Men's Super-Heavyweight,BEL,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Super-Heavyweight,BRA,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Super-Heavyweight,CUB,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Super-Heavyweight,FIN,Weightlifting,0,0,0,2,2
1972,Weightlifting Men's Super-Heavyweight,FRG,Weightlifting,0,1,0,0,1
1972,Weightlifting Men's Super-Heavyweight,GBR,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Super-Heavyweight,GDR,Weightlifting,0,0,1,1,2
1972,Weightlifting Men's Super-Heavyweight,SWE,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Super-Heavyweight,TCH,Weightlifting,0,0,0,1,1
1972,Weightlifting Men's Super-Heavyweight,URS,Weightlifting,1,0,0,0,1
1972,Weightlifting Men's Super-Heavyweight,USA,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Super-Heavyweight,AUS,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Super-Heavyweight,CUB,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Super-Heavyweight,FIN,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Super-Heavyweight,GDR,Weightlifting,0,1,1,0,2
1976,Weightlifting Men's Super-Heavyweight,SWE,Weightlifting,0,0,0,1,1
1976,Weightlifting Men's Super-Heavyweight,TCH,Weightlifting,0,0,0,2,2
1976,Weightlifting Men's Super-Heavyweight,URS,Weightlifting,1,0,0,0,1
1976,Weightlifting Men's Super-Heavyweight,USA,Weightlifting,0,0,0,2,2
1980,Weightlifting Men's Super-Heavyweight,CUB,Weightlifting,0,0,0,2,2
1980,Weightlifting Men's Super-Heavyweight,FIN,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Super-Heavyweight,GDR,Weightlifting,0,1,0,0,1
1980,Weightlifting Men's Super-Heavyweight,POL,Weightlifting,0,0,1,1,2
1980,Weightlifting Men's Super-Heavyweight,ROU,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Super-Heavyweight,SYR,Weightlifting,0,0,0,1,1
1980,Weightlifting Men's Super-Heavyweight,TCH,Weightlifting,0,0,0,2,2
1980,Weightlifting Men's Super-Heavyweight,URS,Weightlifting,1,0,0,1,2
1984,Weightlifting Men's Super-Heavyweight,AUS,Weightlifting,1,0,0,0,1
1984,Weightlifting Men's Super-Heavyweight,AUT,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Super-Heavyweight,EGY,Weightlifting,0,0,0,1,1
1984,Weightlifting Men's Super-Heavyweight,FRG,Weightlifting,0,0,1,0,1
1984,Weightlifting Men's Super-Heavyweight,GRE,Weightlifting,0,0,0,2,2
1984,Weightlifting Men's Super-Heavyweight,NGR,Weightlifting,0,0,0,2,2
1984,Weightlifting Men's Super-Heavyweight,USA,Weightlifting,0,1,0,0,1
1988,Weightlifting Men's Super-Heavyweight,AUS,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,CMR,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,DOM,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,EGY,Weightlifting,0,0,0,2,2
1988,Weightlifting Men's Super-Heavyweight,FRG,Weightlifting,0,1,1,0,2
1988,Weightlifting Men's Super-Heavyweight,GBR,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,GRE,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,JAM,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,NGR,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,PER,Weightlifting,0,0,0,1,1
1988,Weightlifting Men's Super-Heavyweight,TCH,Weightlifting,0,0,0,2,2
1988,Weightlifting Men's Super-Heavyweight,URS,Weightlifting,1,0,0,0,1
1988,Weightlifting Men's Super-Heavyweight,USA,Weightlifting,0,0,0,2,2
1992,Weightlifting Men's Super-Heavyweight,AUS,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Super-Heavyweight,BUL,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Super-Heavyweight,CUB,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Super-Heavyweight,EGY,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Super-Heavyweight,EUN,Weightlifting,1,1,0,0,2
1992,Weightlifting Men's Super-Heavyweight,GER,Weightlifting,0,0,1,1,2
1992,Weightlifting Men's Super-Heavyweight,ITA,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Super-Heavyweight,KOR,Weightlifting,0,0,0,1,1
1992,Weightlifting Men's Super-Heavyweight,LAT,Weightlifting,0,0,0,1,1
