Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1896,"Weightlifting Men's Unlimited, One Hand",DEN,Weightlifting,0,1,0,0,1
1896,"Weightlifting Men's Unlimited, One Hand",GBR,Weightlifting,1,0,0,0,1
1896,"Weightlifting Men's Unlimited, One Hand",GRE,Weightlifting,0,0,1,1,2
1906,"Weightlifting Men's Unlimited, One Hand",AUT,Weightlifting,1,0,0,0,1
1906,"Weightlifting Men's Unlimited, One Hand",BEL,Weightlifting,0,0,0,1,1
1906,"Weightlifting Men's Unlimited, One Hand",FRA,Weightlifting,0,0,0,1,1
1906,"Weightlifting Men's Unlimited, One Hand",GER,Weightlifting,0,0,1,1,2
1906,"Weightlifting Men's Unlimited, One Hand",GRE,Weightlifting,0,0,0,5,5
1906,"Weightlifting Men's Unlimited, One Hand",ITA,Weightlifting,0,1,0,0,1
1906,"Weightlifting Men's Unlimited, One Hand",SWE,Weightlifting,0,0,0,1,1
