Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Weightlifting Women's Heavyweight,COL,Weightlifting,1,0,0,0,1
2000,Weightlifting Women's Heavyweight,DOM,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,ESP,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,FIN,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,HUN,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,KAZ,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,KOR,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,NGR,Weightlifting,0,1,0,0,1
2000,Weightlifting Women's Heavyweight,RUS,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Heavyweight,TPE,Weightlifting,0,0,1,0,1
2000,Weightlifting Women's Heavyweight,USA,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,ARG,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,AUS,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,COL,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,DOM,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,EGY,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,ESA,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,GRE,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,HUN,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,KAZ,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,KOR,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,MEX,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,MRI,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Heavyweight,RUS,Weightlifting,0,1,1,0,2
2004,Weightlifting Women's Heavyweight,THA,Weightlifting,1,0,0,0,1
2004,Weightlifting Women's Heavyweight,TPE,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,ARM,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,BLR,Weightlifting,0,0,0,2,2
2008,Weightlifting Women's Heavyweight,CAN,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,CHI,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,CHN,Weightlifting,1,0,0,0,1
2008,Weightlifting Women's Heavyweight,COL,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,ESP,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,KAZ,Weightlifting,0,1,0,0,1
2008,Weightlifting Women's Heavyweight,MEX,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Heavyweight,RUS,Weightlifting,0,0,1,0,1
2008,Weightlifting Women's Heavyweight,UKR,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,BLR,Weightlifting,0,0,1,0,1
2012,Weightlifting Women's Heavyweight,BRA,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,CHI,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,CMR,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,EGY,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,ESP,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,KAZ,Weightlifting,1,0,0,0,1
2012,Weightlifting Women's Heavyweight,KOR,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,POL,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,RUS,Weightlifting,0,1,0,1,2
2012,Weightlifting Women's Heavyweight,SYR,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Heavyweight,UAE,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,ARM,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,BLR,Weightlifting,0,1,0,0,1
2016,Weightlifting Women's Heavyweight,BRA,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,CHI,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,COL,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,ESP,Weightlifting,0,0,1,0,1
2016,Weightlifting Women's Heavyweight,FRA,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,MAR,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,MDA,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,MEX,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,PRK,Weightlifting,1,0,0,0,1
2016,Weightlifting Women's Heavyweight,SAM,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,TUR,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,UKR,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Heavyweight,USA,Weightlifting,0,0,0,1,1
