Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Weightlifting Women's Middleweight,ARG,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Middleweight,AUS,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Middleweight,CHN,Weightlifting,1,0,0,0,1
2000,Weightlifting Women's Middleweight,ESP,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Middleweight,FIJ,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Middleweight,GRE,Weightlifting,0,0,1,0,1
2000,Weightlifting Women's Middleweight,PRK,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Middleweight,RUS,Weightlifting,0,1,0,0,1
2000,Weightlifting Women's Middleweight,THA,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Middleweight,ALG,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Middleweight,BLR,Weightlifting,0,1,1,0,2
2004,Weightlifting Women's Middleweight,GRE,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Middleweight,IND,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Middleweight,KOR,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Middleweight,TUN,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Middleweight,UKR,Weightlifting,1,0,0,0,1
2004,Weightlifting Women's Middleweight,VIE,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,ALG,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,BOL,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,CAN,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,COL,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,GBR,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,KAZ,Weightlifting,0,1,0,0,1
2008,Weightlifting Women's Middleweight,KOR,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,MEX,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,MGL,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,NOR,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,POL,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,PRK,Weightlifting,1,0,0,0,1
2008,Weightlifting Women's Middleweight,RUS,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,TPE,Weightlifting,0,0,1,0,1
2008,Weightlifting Women's Middleweight,TUN,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,USA,Weightlifting,0,0,0,2,2
2008,Weightlifting Women's Middleweight,VEN,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Middleweight,VIE,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,AUS,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,BUL,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,CAN,Weightlifting,0,0,1,0,1
2012,Weightlifting Women's Middleweight,FIJ,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,KAZ,Weightlifting,1,0,0,0,1
2012,Weightlifting Women's Middleweight,MEX,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,NCA,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,PER,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Middleweight,RUS,Weightlifting,0,1,0,0,1
2012,Weightlifting Women's Middleweight,TUR,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,ARG,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,CHN,Weightlifting,1,0,0,0,1
2016,Weightlifting Women's Middleweight,COL,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,CUB,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,EGY,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,FIN,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,ITA,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,JPN,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,KAZ,Weightlifting,0,0,1,0,1
2016,Weightlifting Women's Middleweight,MAD,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,MEX,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,PRK,Weightlifting,0,1,0,0,1
2016,Weightlifting Women's Middleweight,THA,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Middleweight,TUR,Weightlifting,0,0,0,1,1
