Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Weightlifting Women's Super-Heavyweight,CHN,Weightlifting,1,0,0,0,1
2000,Weightlifting Women's Super-Heavyweight,COL,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,GER,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,HUN,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,KOR,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,NGR,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,NRU,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,NZL,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,POL,Weightlifting,0,1,0,0,1
2000,Weightlifting Women's Super-Heavyweight,UKR,Weightlifting,0,0,0,1,1
2000,Weightlifting Women's Super-Heavyweight,USA,Weightlifting,0,0,1,0,1
2004,Weightlifting Women's Super-Heavyweight,CHN,Weightlifting,1,0,0,0,1
2004,Weightlifting Women's Super-Heavyweight,COL,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Super-Heavyweight,FIJ,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Super-Heavyweight,GRE,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Super-Heavyweight,HUN,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Super-Heavyweight,KOR,Weightlifting,0,1,0,0,1
2004,Weightlifting Women's Super-Heavyweight,NRU,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Super-Heavyweight,PER,Weightlifting,0,0,0,1,1
2004,Weightlifting Women's Super-Heavyweight,POL,Weightlifting,0,0,1,0,1
2004,Weightlifting Women's Super-Heavyweight,UKR,Weightlifting,0,0,0,2,2
2004,Weightlifting Women's Super-Heavyweight,USA,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,AUS,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,ESA,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,GRE,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,KAZ,Weightlifting,0,0,1,0,1
2008,Weightlifting Women's Super-Heavyweight,KOR,Weightlifting,1,0,0,0,1
2008,Weightlifting Women's Super-Heavyweight,NGR,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,PER,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,SAM,Weightlifting,0,0,0,1,1
2008,Weightlifting Women's Super-Heavyweight,UKR,Weightlifting,0,1,0,1,2
2008,Weightlifting Women's Super-Heavyweight,USA,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,ARM,Weightlifting,0,0,1,0,1
2012,Weightlifting Women's Super-Heavyweight,CHN,Weightlifting,1,0,0,0,1
2012,Weightlifting Women's Super-Heavyweight,COK,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,ECU,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,EGY,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,GHA,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,GUA,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,JPN,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,KOR,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,NGR,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,RUS,Weightlifting,0,1,0,0,1
2012,Weightlifting Women's Super-Heavyweight,SAM,Weightlifting,0,0,0,1,1
2012,Weightlifting Women's Super-Heavyweight,USA,Weightlifting,0,0,0,2,2
2016,Weightlifting Women's Super-Heavyweight,ALG,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,CHN,Weightlifting,1,0,0,0,1
2016,Weightlifting Women's Super-Heavyweight,COK,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,EGY,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,GEO,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,KOR,Weightlifting,0,0,0,2,2
2016,Weightlifting Women's Super-Heavyweight,NGR,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,NZL,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,PRK,Weightlifting,0,1,0,0,1
2016,Weightlifting Women's Super-Heavyweight,ROU,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,TUN,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,UKR,Weightlifting,0,0,0,1,1
2016,Weightlifting Women's Super-Heavyweight,USA,Weightlifting,0,0,1,0,1
2016,Weightlifting Women's Super-Heavyweight,VEN,Weightlifting,0,0,0,2,2
