Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Women's +81kg,CHN,Weightlifting,1,0,0,0,1
2024,Women's +81kg,DOM,Weightlifting,0,0,0,1,1
2024,Women's +81kg,ECU,Weightlifting,0,0,0,1,1
2024,Women's +81kg,EGY,Weightlifting,0,0,0,1,1
2024,Women's +81kg,GBR,Weightlifting,0,0,1,0,1
2024,Women's +81kg,INA,Weightlifting,0,0,0,1,1
2024,Women's +81kg,KOR,Weightlifting,0,1,0,0,1
2024,Women's +81kg,SAM,Weightlifting,0,0,0,1,1
2024,Women's +81kg,THA,Weightlifting,0,0,0,1,1
2024,Women's +81kg,USA,Weightlifting,0,0,0,1,1
2024,Women's +81kg,UZB,Weightlifting,0,0,0,1,1
2024,Women's +81kg,VEN,Weightlifting,0,0,0,1,1
