Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 55kg,CAN,Weightlifting,0,0,0,1,1
2020,Women's 55kg,CHN,Weightlifting,0,1,0,0,1
2020,Women's 55kg,JPN,Weightlifting,0,0,0,1,1
2020,Women's 55kg,KAZ,Weightlifting,0,0,1,0,1
2020,Women's 55kg,KOR,Weightlifting,0,0,0,1,1
2020,Women's 55kg,MEX,Weightlifting,0,0,0,1,1
2020,Women's 55kg,PHI,Weightlifting,1,0,0,0,1
2020,Women's 55kg,POL,Weightlifting,0,0,0,1,1
2020,Women's 55kg,SOL,Weightlifting,0,0,0,1,1
2020,Women's 55kg,TKM,Weightlifting,0,0,0,1,1
2020,Women's 55kg,TPE,Weightlifting,0,0,0,1,1
2020,Women's 55kg,TUN,Weightlifting,0,0,0,1,1
2020,Women's 55kg,UKR,Weightlifting,0,0,0,1,1
2020,Women's 55kg,UZB,Weightlifting,0,0,0,1,1
