Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Freestyle 74kg,AZE,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,BLR,Wrestling,0,1,0,0,1
2020,Men's Freestyle 74kg,CUB,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,EGY,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,GBS,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,GEO,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,IRI,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,ITA,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,JPN,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,KAZ,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,POL,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,PUR,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,ROC,Wrestling,1,0,0,0,1
2020,Men's Freestyle 74kg,UKR,Wrestling,0,0,0,1,1
2020,Men's Freestyle 74kg,USA,Wrestling,0,0,1,0,1
2020,Men's Freestyle 74kg,UZB,Wrestling,0,0,1,0,1
2024,Men's Freestyle 74kg,AIN,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,ALB,Wrestling,0,0,1,0,1
2024,Men's Freestyle 74kg,AZE,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,CHN,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,CUB,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,EGY,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,EOR,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,GBS,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,GRE,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,IRI,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,ITA,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,JPN,Wrestling,0,1,0,0,1
2024,Men's Freestyle 74kg,SRB,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,SVK,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,TJK,Wrestling,0,0,0,1,1
2024,Men's Freestyle 74kg,USA,Wrestling,0,0,1,0,1
2024,Men's Freestyle 74kg,UZB,Wrestling,1,0,0,0,1
2024,Men's Freestyle 74kg,VEN,Wrestling,0,0,0,1,1
