Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Freestyle 68kg,AZE,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,BUL,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,CAN,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,CHN,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,CUB,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,EGY,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,FRA,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,GER,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,JPN,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,KGZ,Wrestling,0,0,1,0,1
2020,Women's Freestyle 68kg,MGL,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,NGR,Wrestling,0,1,0,0,1
2020,Women's Freestyle 68kg,POL,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,ROC,Wrestling,0,0,0,1,1
2020,Women's Freestyle 68kg,UKR,Wrestling,0,0,1,0,1
2020,Women's Freestyle 68kg,USA,Wrestling,1,0,0,0,1
2024,Women's Freestyle 68kg,CAN,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,CHN,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,FRA,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,IND,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,JPN,Wrestling,0,0,1,0,1
2024,Women's Freestyle 68kg,KGZ,Wrestling,0,1,0,0,1
2024,Women's Freestyle 68kg,MDA,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,MGL,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,NGR,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,NZL,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,POL,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,PRK,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,TUR,Wrestling,0,0,1,0,1
2024,Women's Freestyle 68kg,UKR,Wrestling,0,0,0,1,1
2024,Women's Freestyle 68kg,USA,Wrestling,1,0,0,0,1
2024,Women's Freestyle 68kg,VEN,Wrestling,0,0,0,1,1
