Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,"Wrestling Men's Featherweight, Greco-Roman",AUT,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Featherweight, Greco-Roman",BOH,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Featherweight, Greco-Roman",DEN,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,1,0,1,5,7
1912,"Wrestling Men's Featherweight, Greco-Roman",GBR,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Featherweight, Greco-Roman",GER,Wrestling,0,1,0,2,3
1912,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Featherweight, Greco-Roman",NOR,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Featherweight, Greco-Roman",POR,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Featherweight, Greco-Roman",RUS,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,0,0,8,8
1912,"Wrestling Men's Featherweight, Greco-Roman",USA,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",BEL,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",DEN,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",EST,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,1,1,0,0,2
1920,"Wrestling Men's Featherweight, Greco-Roman",FRA,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",GRE,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",NED,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",NOR,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,0,1,1,2
1920,"Wrestling Men's Featherweight, Greco-Roman",TCH,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Featherweight, Greco-Roman",USA,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",AUT,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",BEL,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",DEN,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",ESP,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",EST,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,1,1,0,0,2
1924,"Wrestling Men's Featherweight, Greco-Roman",FRA,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",JPN,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Featherweight, Greco-Roman",LAT,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Featherweight, Greco-Roman",LUX,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Featherweight, Greco-Roman",NOR,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,0,1,1,2
1924,"Wrestling Men's Featherweight, Greco-Roman",TCH,Wrestling,0,0,0,2,2
1928,"Wrestling Men's Featherweight, Greco-Roman",ARG,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",AUT,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",BEL,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",DEN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",EGY,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",EST,Wrestling,1,0,0,0,1
1928,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",FRA,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",GER,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,1,0,1
1928,"Wrestling Men's Featherweight, Greco-Roman",NED,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",NOR,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",POL,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",POR,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",SUI,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,1,0,0,1
1928,"Wrestling Men's Featherweight, Greco-Roman",TCH,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",TUR,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Featherweight, Greco-Roman",YUG,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Featherweight, Greco-Roman",DEN,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,0,0,1,0,1
1932,"Wrestling Men's Featherweight, Greco-Roman",GER,Wrestling,0,1,0,0,1
1932,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,1,0,0,0,1
1932,"Wrestling Men's Featherweight, Greco-Roman",JPN,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Featherweight, Greco-Roman",TCH,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",AUT,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",BEL,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",DEN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,0,1,0,0,1
1936,"Wrestling Men's Featherweight, Greco-Roman",FRA,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",GBR,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",GER,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",GRE,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",JPN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",LAT,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",POL,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",ROU,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",SUI,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,0,1,0,1
1936,"Wrestling Men's Featherweight, Greco-Roman",TCH,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Featherweight, Greco-Roman",TUR,Wrestling,1,0,0,0,1
1936,"Wrestling Men's Featherweight, Greco-Roman",YUG,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",ARG,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",AUT,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",EGY,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",FRA,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",GBR,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",GRE,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,0,1,0,1
1948,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",LIB,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",LUX,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",NED,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",NOR,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",SUI,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,1,0,0,1
1948,"Wrestling Men's Featherweight, Greco-Roman",TCH,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Featherweight, Greco-Roman",TUR,Wrestling,1,0,0,0,1
1952,"Wrestling Men's Featherweight, Greco-Roman",AUT,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",BEL,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",EGY,Wrestling,0,0,1,0,1
1952,"Wrestling Men's Featherweight, Greco-Roman",FIN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",FRA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",GER,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",GUA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",HUN,Wrestling,0,1,0,0,1
1952,"Wrestling Men's Featherweight, Greco-Roman",ITA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",LIB,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",NOR,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",POL,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",ROU,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Featherweight, Greco-Roman",SWE,Wrestling,0,0,0,1,1
