Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1904,"Wrestling Men's Heavyweight, Freestyle",GER,Wrestling,0,1,0,0,1
1904,"Wrestling Men's Heavyweight, Freestyle",NOR,Wrestling,1,0,0,0,1
1904,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,1,2,3
1908,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,1,0,1,7,9
1908,"Wrestling Men's Heavyweight, Freestyle",NOR,Wrestling,0,1,0,0,1
1908,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Heavyweight, Freestyle",FIN,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Heavyweight, Freestyle",SUI,Wrestling,1,0,0,0,1
1920,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,0,0,1,0,1
1920,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,1,1,0,2
1924,"Wrestling Men's Heavyweight, Freestyle",FIN,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Heavyweight, Freestyle",FRA,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,0,0,1,1,2
1924,"Wrestling Men's Heavyweight, Freestyle",SUI,Wrestling,0,1,0,1,2
1924,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,1,0,0,1,2
1928,"Wrestling Men's Heavyweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Heavyweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Heavyweight, Freestyle",FIN,Wrestling,0,1,0,0,1
1928,"Wrestling Men's Heavyweight, Freestyle",FRA,Wrestling,0,0,1,0,1
1928,"Wrestling Men's Heavyweight, Freestyle",SUI,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,1,0,0,0,1
1928,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Heavyweight, Freestyle",AUT,Wrestling,0,0,1,0,1
1932,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,1,0,0,0,1
1932,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,1,0,0,1
1936,"Wrestling Men's Heavyweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",EST,Wrestling,1,0,0,0,1
1936,"Wrestling Men's Heavyweight, Freestyle",FIN,Wrestling,0,0,1,0,1
1936,"Wrestling Men's Heavyweight, Freestyle",FRA,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",GER,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",SUI,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",TCH,Wrestling,0,1,0,0,1
1936,"Wrestling Men's Heavyweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Heavyweight, Freestyle",AUS,Wrestling,0,0,1,0,1
1948,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Heavyweight, Freestyle",HUN,Wrestling,1,0,0,0,1
1948,"Wrestling Men's Heavyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Heavyweight, Freestyle",SUI,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,0,1,0,0,1
1948,"Wrestling Men's Heavyweight, Freestyle",TCH,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Heavyweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",ARG,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,0,0,1,0,1
1952,"Wrestling Men's Heavyweight, Freestyle",GER,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",SWE,Wrestling,0,1,0,0,1
1952,"Wrestling Men's Heavyweight, Freestyle",TCH,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Heavyweight, Freestyle",URS,Wrestling,1,0,0,0,1
1952,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",AUS,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",BUL,Wrestling,0,1,0,0,1
1956,"Wrestling Men's Heavyweight, Freestyle",FIN,Wrestling,0,0,1,0,1
1956,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",IND,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",NZL,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",TUR,Wrestling,1,0,0,0,1
1956,"Wrestling Men's Heavyweight, Freestyle",URS,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Heavyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",AFG,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",AUS,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",BUL,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",GER,Wrestling,1,0,0,0,1
1960,"Wrestling Men's Heavyweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",PAK,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",POL,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",RSA,Wrestling,0,0,0,1,1
1960,"Wrestling Men's Heavyweight, Freestyle",SUI,Wrestling,0,0,0,1,1
