Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1904,"Wrestling Men's Light-Flyweight, Freestyle",SUI,Wrestling,0,0,1,0,1
1904,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,1,1,0,1,3
1972,"Wrestling Men's Light-Flyweight, Freestyle",BUL,Wrestling,0,1,0,0,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",FRG,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",GDR,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",IND,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",IRI,Wrestling,0,0,1,0,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",ISR,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",MGL,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",PRK,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",ROU,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",URS,Wrestling,1,0,0,0,1
1972,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",BUL,Wrestling,1,0,0,0,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",CUB,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",FRG,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",GDR,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",JPN,Wrestling,0,0,1,0,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",KOR,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",MEX,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",MGL,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",PRK,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",PUR,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",ROU,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",URS,Wrestling,0,1,0,0,1
1976,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",AFG,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",BUL,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",IND,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",IRQ,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",ITA,Wrestling,1,0,0,0,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",MEX,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",MGL,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",POL,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",PRK,Wrestling,0,1,0,0,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",ROU,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",SYR,Wrestling,0,0,0,1,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",URS,Wrestling,0,0,1,0,1
1980,"Wrestling Men's Light-Flyweight, Freestyle",VIE,Wrestling,0,0,0,1,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",CHN,Wrestling,0,0,0,1,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",FRG,Wrestling,0,0,0,1,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",IND,Wrestling,0,0,0,1,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",JPN,Wrestling,0,1,0,0,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",KOR,Wrestling,0,0,1,0,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",SWE,Wrestling,0,0,0,1,1
1984,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,1,0,0,0,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",AFG,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",BUL,Wrestling,0,1,0,0,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",CHN,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",COL,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",ESP,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",FRG,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",GDR,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",INA,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",IND,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",JPN,Wrestling,1,0,0,0,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",KOR,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",MGL,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",NGR,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",SYR,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",TPE,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",URS,Wrestling,0,0,1,0,1
1988,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",BUL,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",CHN,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",CUB,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",ESP,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",EUN,Wrestling,0,0,1,0,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",GER,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",GUM,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",KOR,Wrestling,0,1,0,0,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",MGL,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",NGR,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",POL,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",PRK,Wrestling,1,0,0,0,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",ROU,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",SWE,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",TUN,Wrestling,0,0,0,1,1
1992,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",ARM,Wrestling,0,1,0,0,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",COL,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",CUB,Wrestling,0,0,1,0,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",GRE,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",GUA,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",KGZ,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",KOR,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",MDA,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",MEX,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",MGL,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",MKD,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",NGR,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",PRK,Wrestling,1,0,0,0,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",ROU,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",RUS,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",SWE,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",UKR,Wrestling,0,0,0,1,1
1996,"Wrestling Men's Light-Flyweight, Freestyle",USA,Wrestling,0,0,0,1,1
