Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",BUL,Wrestling,0,0,1,0,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",EGY,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",FIN,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",FRG,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",GDR,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",GRE,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",HUN,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",IRI,Wrestling,0,1,0,0,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",ITA,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",JPN,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",MEX,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",MGL,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",POL,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",ROU,Wrestling,1,0,0,0,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",SWE,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",SYR,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",TUN,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",TUR,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",URS,Wrestling,0,0,0,1,1
1972,"Wrestling Men's Light-Flyweight, Greco-Roman",USA,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",BUL,Wrestling,0,0,1,0,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",CAN,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",CUB,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",GDR,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",HUN,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",IRI,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",ITA,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",JPN,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",KOR,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",MGL,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",POL,Wrestling,0,0,0,1,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",ROU,Wrestling,0,1,0,0,1
1976,"Wrestling Men's Light-Flyweight, Greco-Roman",TUR,Wrestling,0,0,0,1,1
