Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,"Wrestling Men's Light-Heavyweight, Freestyle",BEL,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Light-Heavyweight, Freestyle",FIN,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Light-Heavyweight, Freestyle",FRA,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Light-Heavyweight, Freestyle",GBR,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Light-Heavyweight, Freestyle",RSA,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Light-Heavyweight, Freestyle",SUI,Wrestling,0,1,0,0,1
1920,"Wrestling Men's Light-Heavyweight, Freestyle",SWE,Wrestling,1,0,0,0,1
1920,"Wrestling Men's Light-Heavyweight, Freestyle",USA,Wrestling,0,0,1,1,2
1924,"Wrestling Men's Light-Heavyweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Light-Heavyweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Light-Heavyweight, Freestyle",DEN,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Light-Heavyweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Light-Heavyweight, Freestyle",FRA,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Light-Heavyweight, Freestyle",GBR,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Light-Heavyweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Light-Heavyweight, Freestyle",SUI,Wrestling,0,0,1,1,2
1924,"Wrestling Men's Light-Heavyweight, Freestyle",SWE,Wrestling,0,1,0,1,2
1924,"Wrestling Men's Light-Heavyweight, Freestyle",USA,Wrestling,1,0,0,1,2
1928,"Wrestling Men's Light-Heavyweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Light-Heavyweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Light-Heavyweight, Freestyle",FRA,Wrestling,0,0,1,0,1
1928,"Wrestling Men's Light-Heavyweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Light-Heavyweight, Freestyle",SUI,Wrestling,0,1,0,0,1
