Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1904,"Wrestling Men's Lightweight, Freestyle",GER,Wrestling,0,0,0,1,1
1904,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,1,1,1,6,9
1908,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,1,1,1,7,10
1908,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Lightweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1920,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,1,0,0,0,1
1920,"Wrestling Men's Lightweight, Freestyle",FRA,Wrestling,0,0,0,2,2
1920,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,1,1,2
1920,"Wrestling Men's Lightweight, Freestyle",SWE,Wrestling,0,1,0,0,1
1920,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Lightweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Lightweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Lightweight, Freestyle",DEN,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Lightweight, Freestyle",EST,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,1,1,0,2
1924,"Wrestling Men's Lightweight, Freestyle",FRA,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Lightweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1924,"Wrestling Men's Lightweight, Freestyle",SUI,Wrestling,0,0,0,2,2
1924,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,1,0,0,1,2
1928,"Wrestling Men's Lightweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",DEN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",EST,Wrestling,1,0,0,0,1
1928,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,0,1,0,1
1928,"Wrestling Men's Lightweight, Freestyle",FRA,Wrestling,0,1,0,0,1
1928,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",NOR,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",SUI,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",SWE,Wrestling,0,0,0,1,1
1928,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Lightweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Lightweight, Freestyle",EST,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Lightweight, Freestyle",FRA,Wrestling,1,0,0,0,1
1932,"Wrestling Men's Lightweight, Freestyle",HUN,Wrestling,0,1,0,0,1
1932,"Wrestling Men's Lightweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1932,"Wrestling Men's Lightweight, Freestyle",SWE,Wrestling,0,0,1,0,1
1932,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",AUS,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",DEN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",EST,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,0,1,0,1
1936,"Wrestling Men's Lightweight, Freestyle",FRA,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",GER,Wrestling,0,1,0,0,1
1936,"Wrestling Men's Lightweight, Freestyle",HUN,Wrestling,1,0,0,0,1
1936,"Wrestling Men's Lightweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",SUI,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",SWE,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",TCH,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1936,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",CAN,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",CUB,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",EGY,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",IND,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",IRI,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",KOR,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",LIB,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",MEX,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",RSA,Wrestling,0,0,0,1,1
1948,"Wrestling Men's Lightweight, Freestyle",SUI,Wrestling,0,0,1,0,1
1948,"Wrestling Men's Lightweight, Freestyle",SWE,Wrestling,0,1,0,0,1
1948,"Wrestling Men's Lightweight, Freestyle",TUR,Wrestling,1,0,0,0,1
1948,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",ARG,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",AUS,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",BEL,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",DEN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",EGY,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",GER,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",GUA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",IRI,Wrestling,0,0,1,0,1
1952,"Wrestling Men's Lightweight, Freestyle",IRL,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",ITA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",JPN,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",KOR,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",MEX,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",NOR,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",RSA,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",SUI,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",SWE,Wrestling,1,0,0,0,1
1952,"Wrestling Men's Lightweight, Freestyle",TUR,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",URS,Wrestling,0,0,0,1,1
1952,"Wrestling Men's Lightweight, Freestyle",USA,Wrestling,0,1,0,0,1
1956,"Wrestling Men's Lightweight, Freestyle",ARG,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",AUS,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",BUL,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",FIN,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",FRA,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",GBR,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",HUN,Wrestling,0,0,0,1,1
1956,"Wrestling Men's Lightweight, Freestyle",IND,Wrestling,0,0,0,1,1
