Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,"Wrestling Men's Middleweight A, Greco-Roman",AUT,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Middleweight A, Greco-Roman",DEN,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Middleweight A, Greco-Roman",FIN,Wrestling,0,0,1,6,7
1912,"Wrestling Men's Middleweight A, Greco-Roman",FRA,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight A, Greco-Roman",GBR,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Middleweight A, Greco-Roman",GER,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Middleweight A, Greco-Roman",GRE,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight A, Greco-Roman",HUN,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Middleweight A, Greco-Roman",ITA,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Middleweight A, Greco-Roman",NED,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight A, Greco-Roman",NOR,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight A, Greco-Roman",POR,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight A, Greco-Roman",RUS,Wrestling,0,1,0,2,3
1912,"Wrestling Men's Middleweight A, Greco-Roman",SWE,Wrestling,1,0,0,8,9
