Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,"Wrestling Men's Middleweight B, Greco-Roman",AUT,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Middleweight B, Greco-Roman",BOH,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight B, Greco-Roman",DEN,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Middleweight B, Greco-Roman",FIN,Wrestling,0,1,0,7,8
1912,"Wrestling Men's Middleweight B, Greco-Roman",FRA,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight B, Greco-Roman",GER,Wrestling,0,0,0,3,3
1912,"Wrestling Men's Middleweight B, Greco-Roman",HUN,Wrestling,0,0,1,0,1
1912,"Wrestling Men's Middleweight B, Greco-Roman",ISL,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight B, Greco-Roman",ITA,Wrestling,0,0,0,2,2
1912,"Wrestling Men's Middleweight B, Greco-Roman",NOR,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight B, Greco-Roman",RUS,Wrestling,0,0,0,1,1
1912,"Wrestling Men's Middleweight B, Greco-Roman",SWE,Wrestling,0,1,0,4,5
