Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2004,"Wrestling Women's Lightweight, Freestyle",CAN,Wrestling,0,1,0,0,1
2004,"Wrestling Women's Lightweight, Freestyle",CHN,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",FRA,Wrestling,0,0,1,0,1
2004,"Wrestling Women's Lightweight, Freestyle",GRE,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",ITA,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2004,"Wrestling Women's Lightweight, Freestyle",KOR,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",PUR,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",RUS,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",SWE,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",UKR,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",AZE,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",BLR,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",CAN,Wrestling,0,0,1,0,1
2008,"Wrestling Women's Lightweight, Freestyle",CHN,Wrestling,0,1,0,0,1
2008,"Wrestling Women's Lightweight, Freestyle",COL,Wrestling,0,0,1,0,1
2008,"Wrestling Women's Lightweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2008,"Wrestling Women's Lightweight, Freestyle",KAZ,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",MDA,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",MGL,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",ROU,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",RUS,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",SWE,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",TUN,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",UKR,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Lightweight, Freestyle",VEN,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",AZE,Wrestling,0,0,1,0,1
2012,"Wrestling Women's Lightweight, Freestyle",BRA,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",CAN,Wrestling,0,1,0,0,1
2012,"Wrestling Women's Lightweight, Freestyle",COL,Wrestling,0,0,1,0,1
2012,"Wrestling Women's Lightweight, Freestyle",ECU,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",EGY,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",GBR,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",GRE,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",IND,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2012,"Wrestling Women's Lightweight, Freestyle",KOR,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",MGL,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",PRK,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",RUS,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",SWE,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",TUN,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",UKR,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",USA,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Lightweight, Freestyle",VEN,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",AZE,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",BRA,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",BUL,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",CAN,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",COL,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",ECU,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",FIN,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",GER,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",IND,Wrestling,0,0,1,0,1
2016,"Wrestling Women's Lightweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2016,"Wrestling Women's Lightweight, Freestyle",KGZ,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",MDA,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",MGL,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",NGR,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",PER,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",RUS,Wrestling,0,1,0,0,1
2016,"Wrestling Women's Lightweight, Freestyle",SWE,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",TUN,Wrestling,0,0,1,0,1
2016,"Wrestling Women's Lightweight, Freestyle",TUR,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Lightweight, Freestyle",UKR,Wrestling,0,0,0,1,1
