Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2004,"Wrestling Women's Middleweight, Freestyle",BLR,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",CAN,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",CHN,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",FRA,Wrestling,0,0,1,0,1
2004,"Wrestling Women's Middleweight, Freestyle",GER,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",GRE,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2004,"Wrestling Women's Middleweight, Freestyle",RUS,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",SWE,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",TJK,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",UKR,Wrestling,0,0,0,1,1
2004,"Wrestling Women's Middleweight, Freestyle",USA,Wrestling,0,1,0,0,1
2008,"Wrestling Women's Middleweight, Freestyle",AZE,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",BLR,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",BUL,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",CAN,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",CHN,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",EGY,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",ESP,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",FRA,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",GUM,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",HUN,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2008,"Wrestling Women's Middleweight, Freestyle",KAZ,Wrestling,0,0,1,0,1
2008,"Wrestling Women's Middleweight, Freestyle",MGL,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",POL,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",RUS,Wrestling,0,1,0,0,1
2008,"Wrestling Women's Middleweight, Freestyle",UKR,Wrestling,0,0,0,1,1
2008,"Wrestling Women's Middleweight, Freestyle",USA,Wrestling,0,0,1,0,1
2012,"Wrestling Women's Middleweight, Freestyle",CAF,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",CAN,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",CHN,Wrestling,0,1,0,0,1
2012,"Wrestling Women's Middleweight, Freestyle",CUB,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",GBS,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",GUM,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",HUN,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2012,"Wrestling Women's Middleweight, Freestyle",KAZ,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",KGZ,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",LAT,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",MGL,Wrestling,0,0,1,0,1
2012,"Wrestling Women's Middleweight, Freestyle",NGR,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",POL,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",PRK,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",RUS,Wrestling,0,0,1,0,1
2012,"Wrestling Women's Middleweight, Freestyle",SWE,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",TUR,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",UKR,Wrestling,0,0,0,1,1
2012,"Wrestling Women's Middleweight, Freestyle",USA,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",BLR,Wrestling,0,1,0,0,1
2016,"Wrestling Women's Middleweight, Freestyle",BRA,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",BUL,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",CAN,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",CHN,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",CZE,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",HUN,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",JPN,Wrestling,1,0,0,0,1
2016,"Wrestling Women's Middleweight, Freestyle",KAZ,Wrestling,0,0,1,0,1
2016,"Wrestling Women's Middleweight, Freestyle",LAT,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",MGL,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",NGR,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",POL,Wrestling,0,0,1,0,1
2016,"Wrestling Women's Middleweight, Freestyle",RUS,Wrestling,0,0,0,1,1
2016,"Wrestling Women's Middleweight, Freestyle",SWE,Wrestling,0,0,0,1,1
